case,step,time_ps,depth_mid_nm,atom_count,mean_atom_temperature_K,mean_stress_proxy_eV
ttm_initial_pulse_5uj_equiv,10000,2.49975,15.071818,864,nan,-469.48333
ttm_initial_pulse_5uj_equiv,10000,2.49975,14.690252,864,nan,-16216.351
ttm_initial_pulse_5uj_equiv,10000,2.49975,14.308687,864,263.69519,16504.923
ttm_initial_pulse_5uj_equiv,10000,2.49975,13.927123,864,263.0539,8708.645
ttm_initial_pulse_5uj_equiv,10000,2.49975,13.545558,781,267.98029,22096.79
ttm_initial_pulse_5uj_equiv,10000,2.49975,13.163993,659,253.58953,-48535.571
ttm_initial_pulse_5uj_equiv,10000,2.49975,12.782428,864,219.42997,12432.035
ttm_initial_pulse_5uj_equiv,10000,2.49975,12.400863,864,207.65169,-28159.273
ttm_initial_pulse_5uj_equiv,10000,2.49975,12.019298,864,204.18924,30559.798
ttm_initial_pulse_5uj_equiv,10000,2.49975,11.637733,804,207.19176,-11166.338
ttm_initial_pulse_5uj_equiv,10000,2.49975,11.256168,636,196.66535,11490.861
ttm_initial_pulse_5uj_equiv,10000,2.49975,10.874603,864,196.38011,-37383.155
ttm_initial_pulse_5uj_equiv,10000,2.49975,10.493037,864,193.32073,21881.907
ttm_initial_pulse_5uj_equiv,10000,2.49975,10.111473,864,188.47708,5491.0127
ttm_initial_pulse_5uj_equiv,10000,2.49975,9.7299075,841,193.21149,-7188.6455
ttm_initial_pulse_5uj_equiv,10000,2.49975,9.3483425,599,190.74551,-15465.174
ttm_initial_pulse_5uj_equiv,10000,2.49975,8.9667775,864,196.50241,4003.3988
ttm_initial_pulse_5uj_equiv,10000,2.49975,8.5852125,864,190.53086,1551.7741
ttm_initial_pulse_5uj_equiv,10000,2.49975,8.2036475,864,188.04005,43186.264
ttm_initial_pulse_5uj_equiv,10000,2.49975,7.8220825,860,190.36942,17378.053
ttm_initial_pulse_5uj_equiv,10000,2.49975,7.4405175,580,180.18091,3311.5381
ttm_initial_pulse_5uj_equiv,10000,2.49975,7.0589525,864,183.72628,15643.925
ttm_initial_pulse_5uj_equiv,10000,2.49975,6.6773875,864,184.89872,41976.262
ttm_initial_pulse_5uj_equiv,10000,2.49975,6.2958225,864,181.6915,-35720.822
ttm_initial_pulse_5uj_equiv,10000,2.49975,5.9142575,863,187.33145,10184.635
ttm_initial_pulse_5uj_equiv,10000,2.49975,5.5326925,582,181.71546,18693.51
ttm_initial_pulse_5uj_equiv,10000,2.49975,5.1511275,859,182.4963,9934.1431
ttm_initial_pulse_5uj_equiv,10000,2.49975,4.7695625,864,182.22907,-2642.5548
ttm_initial_pulse_5uj_equiv,10000,2.49975,4.3879975,864,179.77567,3112.0076
ttm_initial_pulse_5uj_equiv,10000,2.49975,4.0064325,864,195.41964,5429.2067
ttm_initial_pulse_5uj_equiv,10000,2.49975,3.6248675,588,179.60774,-10833.658
ttm_initial_pulse_5uj_equiv,10000,2.49975,3.2433025,852,179.60273,18672.043
ttm_initial_pulse_5uj_equiv,10000,2.49975,2.8617375,864,175.2615,32248.583
ttm_initial_pulse_5uj_equiv,10000,2.49975,2.4801725,864,182.14982,-15770.557
ttm_initial_pulse_5uj_equiv,10000,2.49975,2.0986075,864,174.19657,22605.084
ttm_initial_pulse_5uj_equiv,10000,2.49975,1.7170425,618,171.3494,-22376.748
ttm_initial_pulse_5uj_equiv,10000,2.49975,1.3354775,822,179.97591,21384.127
ttm_initial_pulse_5uj_equiv,10000,2.49975,0.9539125,864,194.60661,45894.736
ttm_initial_pulse_5uj_equiv,10000,2.49975,0.5723475,864,204.15969,9707.7948
ttm_initial_pulse_5uj_equiv,10000,2.49975,0.1907825,863,221.84165,-132313.97
ttm_initial_pulse_5uj_equiv,12000,2.99975,15.071818,864,nan,-469.48333
ttm_initial_pulse_5uj_equiv,12000,2.99975,14.690252,864,nan,-14541.298
ttm_initial_pulse_5uj_equiv,12000,2.99975,14.308687,864,285.64343,29979.359
ttm_initial_pulse_5uj_equiv,12000,2.99975,13.927123,864,261.73826,-24832.622
ttm_initial_pulse_5uj_equiv,12000,2.99975,13.545558,782,258.83569,29076.006
ttm_initial_pulse_5uj_equiv,12000,2.99975,13.163993,658,249.8049,-39576.635
ttm_initial_pulse_5uj_equiv,12000,2.99975,12.782428,864,248.02273,-5862.5
ttm_initial_pulse_5uj_equiv,12000,2.99975,12.400863,864,235.01844,-5279.2323
ttm_initial_pulse_5uj_equiv,12000,2.99975,12.019298,864,216.43408,11310.573
ttm_initial_pulse_5uj_equiv,12000,2.99975,11.637733,793,223.67495,3680.0803
ttm_initial_pulse_5uj_equiv,12000,2.99975,11.256168,647,209.85721,-3032.7319
ttm_initial_pulse_5uj_equiv,12000,2.99975,10.874603,864,206.39906,-11415.424
ttm_initial_pulse_5uj_equiv,12000,2.99975,10.493037,864,218.54798,-20175.825
ttm_initial_pulse_5uj_equiv,12000,2.99975,10.111473,864,213.31409,-3385.2534
ttm_initial_pulse_5uj_equiv,12000,2.99975,9.7299075,824,203.43251,14044.118
ttm_initial_pulse_5uj_equiv,12000,2.99975,9.3483425,616,195.72802,-33666.126
ttm_initial_pulse_5uj_equiv,12000,2.99975,8.9667775,864,217.03327,-32466.478
ttm_initial_pulse_5uj_equiv,12000,2.99975,8.5852125,864,206.40851,-20617.941
ttm_initial_pulse_5uj_equiv,12000,2.99975,8.2036475,864,198.08976,-15768.035
ttm_initial_pulse_5uj_equiv,12000,2.99975,7.8220825,836,208.06899,8923.0588
ttm_initial_pulse_5uj_equiv,12000,2.99975,7.4405175,605,200.92013,-5655.8296
ttm_initial_pulse_5uj_equiv,12000,2.99975,7.0589525,863,197.49305,-8471.7704
ttm_initial_pulse_5uj_equiv,12000,2.99975,6.6773875,864,214.09646,-2317.8003
ttm_initial_pulse_5uj_equiv,12000,2.99975,6.2958225,864,204.47511,-6357.4981
ttm_initial_pulse_5uj_equiv,12000,2.99975,5.9142575,852,204.77802,6346.2688
ttm_initial_pulse_5uj_equiv,12000,2.99975,5.5326925,588,193.66822,-10000.396
ttm_initial_pulse_5uj_equiv,12000,2.99975,5.1511275,864,197.24469,23260.944
ttm_initial_pulse_5uj_equiv,12000,2.99975,4.7695625,864,192.27573,-22004.065
ttm_initial_pulse_5uj_equiv,12000,2.99975,4.3879975,864,193.82817,8385.2025
ttm_initial_pulse_5uj_equiv,12000,2.99975,4.0064325,861,194.31663,38511.518
ttm_initial_pulse_5uj_equiv,12000,2.99975,3.6248675,580,197.65694,-3155.2482
ttm_initial_pulse_5uj_equiv,12000,2.99975,3.2433025,863,193.05656,23217.863
ttm_initial_pulse_5uj_equiv,12000,2.99975,2.8617375,864,191.0626,-3049.0705
ttm_initial_pulse_5uj_equiv,12000,2.99975,2.4801725,864,177.37072,-1557.461
ttm_initial_pulse_5uj_equiv,12000,2.99975,2.0986075,864,184.40937,32763.381
ttm_initial_pulse_5uj_equiv,12000,2.99975,1.7170425,583,184.79105,-13669.749
ttm_initial_pulse_5uj_equiv,12000,2.99975,1.3354775,857,182.33043,17117.581
ttm_initial_pulse_5uj_equiv,12000,2.99975,0.9539125,864,188.87561,6926.0597
ttm_initial_pulse_5uj_equiv,12000,2.99975,0.5723475,864,197.83498,54023.684
ttm_initial_pulse_5uj_equiv,12000,2.99975,0.1907825,864,243.71565,-132616.8
ttm_initial_pulse_5uj_equiv,14000,3.49975,15.071818,864,nan,-469.48333
ttm_initial_pulse_5uj_equiv,14000,3.49975,14.690252,864,nan,-5887.5634
ttm_initial_pulse_5uj_equiv,14000,3.49975,14.308687,864,286.82295,1243.5075
ttm_initial_pulse_5uj_equiv,14000,3.49975,13.927123,864,268.33006,-19667.121
ttm_initial_pulse_5uj_equiv,14000,3.49975,13.545558,775,268.8259,7560.3006
ttm_initial_pulse_5uj_equiv,14000,3.49975,13.163993,665,256.67029,13684.476
