case,step,time_ps,natoms,surface_z_A,surface_lift_nm,ejecta_atoms,plume_front_height_nm,max_atom_temperature_K,mean_atom_temperature_K,max_stress_proxy_eV,min_stress_proxy_eV,max_electron_temperature_K,mean_electron_temperature_K,min_electron_temperature_K
ttm_initial_pulse_5uj_equiv,10000,2.49975,32544,152.626,0,0,0,1731.2703,197.92067,2159040,-2259663.7,8195.343,3022.575,795.93556
ttm_initial_pulse_5uj_equiv,12000,2.99975,32544,152.613,-0.0013,0,0,2828.9185,210.56305,2227920,-2691752.7,7889.8845,3022.575,814.07587
ttm_initial_pulse_5uj_equiv,14000,3.49975,32544,152.719,0.0093,0,0.0093,2203.6825,219.76749,2330466.7,-2955558,7645.2793,3022.5749,841.22789
ttm_initial_pulse_5uj_equiv,16000,3.99975,32544,152.768,0.0142,0,0.0142,4731.9821,228.83304,2200276.7,-2114479.7,7610.4433,3022.5749,851.10284
ttm_initial_pulse_5uj_equiv,18000,4.49975,32544,152.729,0.0103,0,0.0103,1917.9948,236.21705,2443290,-2354483.3,7569.1769,3022.5748,855.26665
ttm_initial_pulse_5uj_equiv,20000,4.99975,32544,152.702,0.0076,0,0.0076,1969.8515,245.42072,3119985,-3948333.3,7522.9328,3022.5748,860.81928
ttm_initial_pulse_5uj_equiv,22000,5.49975,32544,152.604,-0.0022,0,0,3764.1421,254.36104,2567540,-2674460,7472.9171,3022.5747,867.79956
ttm_initial_pulse_5uj_equiv,24000,5.99975,32544,152.564,-0.0062,0,0,2378.3537,264.43162,2362933.3,-2471143.3,7420.1286,3022.5747,876.20425
ttm_initial_pulse_5uj_equiv,26000,6.49975,32544,152.517,-0.0109,0,0,2589.7726,270.39341,3102441,-2252856.7,7365.3916,3022.5746,885.99857
ttm_initial_pulse_5uj_equiv,28000,6.99975,32544,152.531,-0.0095,0,0,2081.8506,277.51811,2308670,-2155356.7,7309.3842,3022.5746,897.1247
ttm_initial_pulse_5uj_equiv,30000,7.49975,32544,152.455,-0.0171,0,0,2164.5211,284.44803,2797093.3,-3707866.7,7252.6609,3022.5745,909.50855
ttm_initial_pulse_5uj_equiv,32000,7.99975,32544,152.571,-0.0055,0,0,2807.1871,292.74251,2708676.7,-2559546.7,7195.6734,3022.5745,920.62486
ttm_initial_pulse_5uj_equiv,34000,8.49975,32544,152.543,-0.0083,0,0,2849.0562,298.94674,2555326.7,-2380926.7,7138.7868,3022.5744,923.55246
ttm_initial_pulse_5uj_equiv,36000,8.99975,32544,152.66,0.0034,0,0.0034,4047.0834,308.30464,2702733.3,-2228986.7,7082.2941,3022.5744,926.88758
ttm_initial_pulse_5uj_equiv,38000,9.49975,32544,152.761,0.0135,0,0.0135,2449.884,314.94304,2616443.3,-2325146.3,7026.428,3022.5744,930.63901
ttm_initial_pulse_5uj_equiv,40000,9.99975,32544,152.759,0.0133,0,0.0133,2324.3231,323.52323,2648286.7,-3056429.3,6971.3709,3022.5743,934.81133
ttm_initial_pulse_5uj_equiv,42000,10.49975,32544,152.849,0.0223,0,0.0223,2317.3449,329.18431,2851316.7,-2503796.7,6917.264,3022.5743,939.40536
ttm_initial_pulse_5uj_equiv,44000,10.99975,32544,152.893,0.0267,0,0.0267,2711.4653,337.4521,2479326.7,-2573130,6864.2132,3022.5742,944.41854
ttm_initial_pulse_5uj_equiv,46000,11.49975,32544,152.954,0.0328,0,0.0328,2653.2261,343.42414,2653083.3,-2625670,6812.2966,3022.5742,949.84534
ttm_initial_pulse_5uj_equiv,48000,11.99975,32544,152.764,0.0138,0,0.0138,5715.3412,352.41514,2744683.3,-2314056.7,6761.5685,3022.5741,955.67767
