case,step,time_ps,depth_mid_nm,atom_count,mean_atom_temperature_K,mean_stress_proxy_eV
fluence_0p5_100ps,30000,2.9999,12.965238,256,,-422.535
fluence_0p5_100ps,30000,2.9999,12.703314,256,,-563.37991
fluence_0p5_100ps,30000,2.9999,12.44139,256,,-7936.8743
fluence_0p5_100ps,30000,2.9999,12.179466,256,390.29127,44776.83
fluence_0p5_100ps,30000,2.9999,11.917542,256,370.1438,-15855.697
fluence_0p5_100ps,30000,2.9999,11.655618,256,409.89751,102382.57
fluence_0p5_100ps,30000,2.9999,11.393694,256,388.96381,-39247.16
fluence_0p5_100ps,30000,2.9999,11.13177,256,409.06332,70056.28
fluence_0p5_100ps,30000,2.9999,10.869846,256,341.68087,-25286.728
fluence_0p5_100ps,30000,2.9999,10.607922,256,376.82076,65529.322
fluence_0p5_100ps,30000,2.9999,10.345998,255,354.93215,25308.365
fluence_0p5_100ps,30000,2.9999,10.084074,253,373.16232,-4961.5479
fluence_0p5_100ps,30000,2.9999,9.82215,214,317.66992,68919.855
fluence_0p5_100ps,30000,2.9999,9.560226,193,385.42231,14287.888
fluence_0p5_100ps,30000,2.9999,9.298302,239,351.96373,26915.874
fluence_0p5_100ps,30000,2.9999,9.036378,254,345.71517,37940.211
fluence_0p5_100ps,30000,2.9999,8.774454,256,336.79267,-23102.964
fluence_0p5_100ps,30000,2.9999,8.51253,256,344.14071,-21148.45
fluence_0p5_100ps,30000,2.9999,8.250606,256,349.16312,-13803.238
fluence_0p5_100ps,30000,2.9999,7.988682,256,326.98898,-37489.524
fluence_0p5_100ps,30000,2.9999,7.726758,256,323.74617,109818.02
fluence_0p5_100ps,30000,2.9999,7.464834,256,324.51217,-14381.467
fluence_0p5_100ps,30000,2.9999,7.20291,256,342.49734,-14086.788
fluence_0p5_100ps,30000,2.9999,6.940986,256,324.06967,7682.1386
fluence_0p5_100ps,30000,2.9999,6.679062,248,353.39989,-50485.917
fluence_0p5_100ps,30000,2.9999,6.417138,189,340.05952,-45307.205
fluence_0p5_100ps,30000,2.9999,6.155214,208,350.53463,-89432.599
fluence_0p5_100ps,30000,2.9999,5.89329,251,389.40714,36612.58
fluence_0p5_100ps,30000,2.9999,5.631366,256,354.85007,98096.1
fluence_0p5_100ps,30000,2.9999,5.369442,256,341.0847,15322.739
fluence_0p5_100ps,30000,2.9999,5.107518,256,322.2337,8723.4695
fluence_0p5_100ps,30000,2.9999,4.845594,256,364.97317,-8872.8872
fluence_0p5_100ps,30000,2.9999,4.58367,256,342.03439,40523.27
fluence_0p5_100ps,30000,2.9999,4.321746,256,377.33337,-27784.451
fluence_0p5_100ps,30000,2.9999,4.059822,256,310.01903,10236.848
fluence_0p5_100ps,30000,2.9999,3.797898,256,328.40336,-46636.913
fluence_0p5_100ps,30000,2.9999,3.535974,255,367.46816,97800.424
fluence_0p5_100ps,30000,2.9999,3.27405,247,332.46043,39529.487
fluence_0p5_100ps,30000,2.9999,3.012126,181,317.50116,9568.7246
fluence_0p5_100ps,30000,2.9999,2.750202,220,374.12036,72704.406
fluence_0p5_100ps,30000,2.9999,2.488278,249,348.96286,-49961.302
fluence_0p5_100ps,30000,2.9999,2.226354,256,332.90257,18433.288
fluence_0p5_100ps,30000,2.9999,1.96443,256,367.43364,331.63717
fluence_0p5_100ps,30000,2.9999,1.702506,256,337.86986,-33742.811
fluence_0p5_100ps,30000,2.9999,1.440582,256,357.19825,57916.741
fluence_0p5_100ps,30000,2.9999,1.178658,256,354.90973,11580.896
fluence_0p5_100ps,30000,2.9999,0.916734,256,365.60322,-31862.34
fluence_0p5_100ps,30000,2.9999,0.65481,256,335.23079,85415.856
fluence_0p5_100ps,30000,2.9999,0.392886,255,339.23453,32923.491
fluence_0p5_100ps,30000,2.9999,0.130962,256,402.19392,-42862.77
fluence_0p5_100ps,40000,3.9999,12.965238,256,,-422.535
fluence_0p5_100ps,40000,3.9999,12.703314,256,,-563.37364
fluence_0p5_100ps,40000,3.9999,12.44139,256,,13161.819
fluence_0p5_100ps,40000,3.9999,12.179466,256,576.30464,15325.879
fluence_0p5_100ps,40000,3.9999,11.917542,256,526.84458,-108554.59
fluence_0p5_100ps,40000,3.9999,11.655618,256,589.94996,31120.711
fluence_0p5_100ps,40000,3.9999,11.393694,256,546.77577,77663.676
fluence_0p5_100ps,40000,3.9999,11.13177,256,597.24994,25304.589
fluence_0p5_100ps,40000,3.9999,10.869846,256,506.48019,-14343.733
fluence_0p5_100ps,40000,3.9999,10.607922,256,536.49,-26748.869
fluence_0p5_100ps,40000,3.9999,10.345998,250,523.01388,-5196.0186
fluence_0p5_100ps,40000,3.9999,10.084074,227,510.8154,20906.653
fluence_0p5_100ps,40000,3.9999,9.82215,190,478.56932,-36237.085
fluence_0p5_100ps,40000,3.9999,9.560226,232,547.63758,-47795.451
fluence_0p5_100ps,40000,3.9999,9.298302,253,570.08314,71141.91
fluence_0p5_100ps,40000,3.9999,9.036378,256,528.19366,26252.037
fluence_0p5_100ps,40000,3.9999,8.774454,256,504.53595,-29639.839
fluence_0p5_100ps,40000,3.9999,8.51253,256,511.53685,-56035.923
fluence_0p5_100ps,40000,3.9999,8.250606,256,548.31995,43781.087
fluence_0p5_100ps,40000,3.9999,7.988682,256,571.49158,66427.378
fluence_0p5_100ps,40000,3.9999,7.726758,256,593.20435,116288.1
fluence_0p5_100ps,40000,3.9999,7.464834,256,605.14092,148562.39
fluence_0p5_100ps,40000,3.9999,7.20291,255,598.97022,53488.156
fluence_0p5_100ps,40000,3.9999,6.940986,244,541.59212,-6834.3314
fluence_0p5_100ps,40000,3.9999,6.679062,197,573.029,31272.991
fluence_0p5_100ps,40000,3.9999,6.417138,222,566.25993,118957.17
fluence_0p5_100ps,40000,3.9999,6.155214,236,520.81896,71594.505
fluence_0p5_100ps,40000,3.9999,5.89329,254,583.17519,-44956.967
fluence_0p5_100ps,40000,3.9999,5.631366,256,566.23131,87379.243
fluence_0p5_100ps,40000,3.9999,5.369442,256,614.24673,132569.32
fluence_0p5_100ps,40000,3.9999,5.107518,256,509.13885,86000.562
fluence_0p5_100ps,40000,3.9999,4.845594,256,554.04497,-44319.995
fluence_0p5_100ps,40000,3.9999,4.58367,256,585.55199,67280.197
fluence_0p5_100ps,40000,3.9999,4.321746,255,553.39835,128544.54
fluence_0p5_100ps,40000,3.9999,4.059822,257,593.37076,48076.436
fluence_0p5_100ps,40000,3.9999,3.797898,255,525.15983,64103.517
fluence_0p5_100ps,40000,3.9999,3.535974,243,557.91019,12365.206
fluence_0p5_100ps,40000,3.9999,3.27405,194,594.18982,-29344.726
fluence_0p5_100ps,40000,3.9999,3.012126,217,554.82064,178506.1
fluence_0p5_100ps,40000,3.9999,2.750202,245,591.55884,41506.252
fluence_0p5_100ps,40000,3.9999,2.488278,254,520.95285,54510.909
fluence_0p5_100ps,40000,3.9999,2.226354,256,545.83003,2121.4674
fluence_0p5_100ps,40000,3.9999,1.96443,256,556.75422,2344.0354
fluence_0p5_100ps,40000,3.9999,1.702506,256,549.67896,34406.325
fluence_0p5_100ps,40000,3.9999,1.440582,256,551.72088,71612.877
fluence_0p5_100ps,40000,3.9999,1.178658,256,525.90284,156327.75
fluence_0p5_100ps,40000,3.9999,0.916734,256,569.29834,92528.205
fluence_0p5_100ps,40000,3.9999,0.65481,255,563.84325,24254.822
fluence_0p5_100ps,40000,3.9999,0.392886,241,565.27856,-61757.393
fluence_0p5_100ps,40000,3.9999,0.130962,251,665.54813,-160945.2
