case,step,time_ps,natoms,thermo_temp_K,mean_atom_temperature_K,max_atom_temperature_K,melt_like_atom_count,vap_like_atom_count,surface_z_A,surface_lift_nm,ejecta_atoms,plume_front_height_nm,max_stress_proxy_eV,min_stress_proxy_eV,log_pressure,max_electron_temperature_K,mean_electron_temperature_K,min_electron_temperature_K
fluence_0p5_100ps,30000,2.9999,12416,331.48487,353.31296,5465.5037,74,3,130.962,0,0,0,3287373.3,-2505993.3,233.52285,1447.959,1305.022,1206.4377
fluence_0p5_100ps,40000,3.9999,12416,522.43449,556.83649,5295.0643,454,17,131.218,0.0256,0,0.0256,3663066.7,-3002403.3,603.58167,1826.2571,1719.1708,1653.9512
fluence_0p5_100ps,50000,4.9999,12416,713.6706,760.66539,6615.1478,1033,70,131.601,0.0639,0,0.0639,3954660,-3342620,790.01666,2065.9773,1992.627,1948.9367
fluence_0p5_100ps,60000,5.9999,12416,895.60772,954.583,9044.1746,1767,174,131.562,0.06,0,0.06,4973033.3,-4659576.7,1147.6501,2272.7932,2211.4405,2173.7849
fluence_0p5_100ps,70000,6.9999,12416,1084.6535,1156.0773,8450.178,2593,377,131.835,0.0873,0,0.0873,5969983.3,-4212306.7,1481.5505,2448.3912,2379.7671,2346.771
fluence_0p5_100ps,80000,7.9999,12416,1263.4934,1346.6937,10915.519,3292,613,131.704,0.0742,0,0.0742,6591016.7,-4732320,1884.741,2571.7744,2526.143,2497.1206
fluence_0p5_100ps,90000,8.9999,12416,1420.1491,1513.6651,12022.203,3901,854,131.907,0.0945,0,0.0945,7538226.7,-4138996.7,1702.7142,2689.6307,2639.7646,2618.0997
fluence_0p5_100ps,100000,9.9999,12416,1566.8613,1670.0382,12342.798,4439,1110,132.387,0.1425,0,0.1425,6588236.7,-6524960,1672.6128,2774.9787,2743.729,2726.5239
fluence_0p5_100ps,110000,10.9999,12416,1688.3795,1799.5583,14278.586,4859,1425,133.401,0.2439,0,0.2439,7638633.3,-5036536.7,1758.1616,2861.5247,2824.4966,2809.634
fluence_0p5_100ps,120000,11.9999,12416,1806.9037,1925.8872,16585.177,5225,1626,133.213,0.2251,0,0.2251,8163030,-5789470,1630.3259,2943.2723,2907.3335,2891.449
fluence_0p5_100ps,130000,12.9999,12416,1949.2368,2077.5929,15512.765,5756,1852,133.565,0.2603,0,0.2603,11492167,-5525353.3,1874.1471,3019.2342,2984.6553,2970.3312
fluence_0p5_100ps,140000,13.9999,12416,2063.6814,2199.5736,14631.905,5968,2167,133.727,0.2765,0,0.2765,7956066.7,-7120963.3,1855.0526,3079.7977,3051.6476,3037.997
fluence_0p5_100ps,150000,14.9999,12416,2129.6449,2269.8808,15888.984,6089,2282,134.04,0.3078,0,0.3078,7803983.3,-6818410,1640.9434,3138.2939,3110.9071,3102.2987
fluence_0p5_100ps,160000,15.9999,12416,2218.2711,2364.343,21563.206,6394,2478,134.021,0.3059,0,0.3059,8915913.3,-6546850,1520.9997,3190.126,3160.007,3150.7761
fluence_0p5_100ps,170000,16.9999,12416,2279.0311,2429.104,15402.832,6465,2586,134.773,0.3811,0,0.3811,8998279,-7401766.7,985.49642,3252.196,3215.6329,3206.0983
fluence_0p5_100ps,180000,17.9999,12416,2353.3351,2508.3008,18249.807,6601,2795,134.86,0.3898,0,0.3898,9588140,-7215123.3,1096.4488,3307.2674,3273.4953,3255.3347
fluence_0p5_100ps,190000,18.9999,12416,2328.0039,2481.3016,20889.138,6631,2679,133.496,0.2534,0,0.2534,10257667,-7472813.3,-68.192907,3365.631,3335.1376,3321.8416
fluence_0p5_100ps,200000,19.9999,12416,2310.0661,2462.1826,18809.299,6504,2717,134.264,0.3302,0,0.3302,9642460,-8973946.7,-549.56977,3421.1531,3396.0925,3385.8032
fluence_0p5_100ps,210000,20.9999,12416,2278.9228,2428.9886,15668.266,6474,2595,133.127,0.2165,0,0.2165,10764663,-8512366.7,-1989.3897,3502.6633,3468.6969,3454.0098
fluence_0p5_100ps,220000,21.9999,12416,2336.3248,2490.1704,20438.728,6587,2736,133.082,0.212,0,0.212,11772177,-9410496.7,-2519.0294,3557.134,3526.6687,3515.1821
fluence_0p5_100ps,230000,22.9999,12416,2339.8206,2493.8964,18140.724,6545,2692,130.696,-0.0266,0,0,12623590,-9193560,-1033.5393,3601.0756,3576.8818,3568.1839
fluence_0p5_100ps,240000,23.9999,12416,2378.2793,2534.8876,17455.826,6632,2763,129.846,-0.1116,0,0,11761600,-9151406.7,292.93113,3649.7766,3622.9591,3614.812
fluence_0p5_100ps,250000,24.9999,12416,2455.0711,2616.7362,18090.98,6742,2941,129.981,-0.0981,0,0,12007083,-9597153.3,-366.93123,3701.6019,3670.1398,3659.6053
fluence_0p5_100ps,260000,25.9999,12416,2570.4767,2739.7411,18614.962,6978,3171,130.825,-0.0137,0,0,12035817,-9369360,1265.5286,3731.9637,3711.3088,3701.3578
fluence_0p5_100ps,270000,26.9999,12416,2649.8272,2824.3168,19656.661,7131,3349,130.936,-0.0026,0,0,12570533,-9654710,3273.9068,3764.3269,3747.5339,3737.7445
fluence_0p5_100ps,280000,27.9999,12416,2755.5568,2937.0086,21249.961,7309,3606,130.329,-0.0633,0,0,12912167,-9957943.3,1818.9967,3806.1426,3783.2034,3773.8266
fluence_0p5_100ps,290000,28.9999,12416,2838.8243,3025.7592,25163.701,7559,3707,131.457,0.0495,0,0.0495,14452633,-9464353.3,897.48879,3825.6412,3813.2346,3801.1593
fluence_0p5_100ps,300000,29.9999,12416,2930.6841,3123.6679,23771.778,7589,3889,131.693,0.0731,0,0.0731,14071743,-9463883.3,-198.97382,3867.2229,3847.4848,3837.5842
fluence_0p5_100ps,310000,30.9999,12416,3013.1639,3211.579,22370.107,7697,4007,133.07,0.2108,0,0.2108,14507133,-10265787,-1117.9514,3899.9102,3879.2719,3871.9031
fluence_0p5_100ps,320000,31.9999,12416,3081.9151,3284.8574,23610.32,7855,4185,135.118,0.4156,0,0.4156,12612453,-8860000,-888.68821,3933.6511,3908.7007,3897.7184
fluence_0p5_100ps,330000,32.9999,12416,3141.9912,3348.8894,34284.156,7858,4260,135.115,0.4153,0,0.4153,13275013,-10326367,-870.63616,3944.255,3929.0042,3915.2236
fluence_0p5_100ps,340000,33.9999,12416,3203.232,3414.1631,25360.437,7989,4353,134.193,0.3231,0,0.3231,11526200,-10402510,-827.92432,3970.1333,3948.9961,3936.049
fluence_0p5_100ps,350000,34.9999,12416,3274.1335,3489.7333,23022.126,8171,4427,133.429,0.2467,0,0.2467,13283567,-10133813,-350.96368,3985.5118,3968.1864,3957.6299
fluence_0p5_100ps,360000,35.9999,12416,3343.1092,3563.251,25671.36,8148,4595,134.027,0.3065,0,0.3065,13987900,-10789717,770.17801,4005.7034,3988.6982,3974.8925
fluence_0p5_100ps,370000,36.9999,12416,3408.3044,3632.7394,24011.837,8236,4696,134.647,0.3685,0,0.3685,13385453,-9139546.7,378.31854,4018.7022,4004.8611,3993.9816
fluence_0p5_100ps,380000,37.9999,12416,3458.6342,3686.3834,31094.074,8260,4714,135.208,0.4246,0,0.4246,14210400,-10274147,753.98937,4037.5626,4018.8828,4005.2647
