case,step,time_ps,raw_lift_outlier_sensitive_nm,robust_lift_nm,surface_z_p95_global_nm,center_surface_z_p95_nm,edge_surface_z_p95_nm,crater_depth_center_nm,rim_lift_nm,rho_mean_surface,rho_p10_surface,low_density_atoms_0p7,low_density_atoms_0p3,mean_vz_surface_A_ps,p95_vz_surface_A_ps,upward_atoms,fast_upward_atoms,outward_flux_A_ps,vapor_candidate_count,detached_candidate_count,stable_ejecta_count,cluster_ejecta_count,largest_ejecta_cluster_size,ejected_mass_fraction,bulk_component_size,detached_component_count,detached_atom_count,largest_detached_cluster_size,surface_atom_T_mean_K,surface_atom_T_p95_K,atom_T_max_proxy_K,melt_like_atom_count,vapor_like_atom_count,Te_min_K,Te_mean_K,Te_p95_K,Te_max_K,thermo_Tl_K,thermo_pe_eV,thermo_ke_eV,thermo_total_eV,pressure_proxy_mean_GPa,pressure_proxy_p01_GPa,pressure_proxy_p99_GPa
fluence_0p5_100ps,30000,0.9999,0,-0.09515,-0.0552525,-0.077655,-0.0731875,0.0044675,-0.096825,0.98437731,0.53277081,1367,66,0.17186741,5.4268765,1372,128,3519.0587,672,0,0,0,0,0,12416,0,0,0,354.35421,975.46651,5465.5037,74,3,1206.4377,1305.022,1410.2965,1447.959,331.48487,-52833.567,531.95522,-52301.612,0.06111125,-7.6878137,8.3351287
fluence_0p5_100ps,40000,1.9999,0.0256,-0.1193225,-0.0546925,-0.14635,-0.1301175,0.0162325,-0.153755,0.98604222,0.53277081,1426,67,0.10531438,6.8283935,1313,128,4275.6217,700,0,0,0,0,0,12416,0,0,0,560.13538,1546.3535,5295.0643,454,17,1653.9512,1719.1708,1791.8314,1826.2571,522.43449,-52527.022,838.38444,-51688.638,0.15795305,-9.48209,10.387394
fluence_0p5_100ps,50000,2.9999,0.0639,-0.118665,-0.1488025,-0.1255175,-0.1640125,0,-0.18765,0.98604222,0.53277081,1464,64,0.15608831,7.6842165,1316,128,4928.3011,793,0,0,0,0,0,12416,0,0,0,774.52338,2043.4992,6615.1478,1033,70,1948.9367,1992.627,2040.6774,2065.9773,713.6706,-52208.106,1145.2734,-51062.833,0.20674165,-10.81991,12.134056
fluence_0p5_100ps,60000,3.9999,0.06,-0.11515,-0.0366025,-0.1406675,-0.112655,0.0280125,-0.1362925,0.98749901,0.53277081,1489,62,0.02962694,8.779551,1318,128,5498.9101,871,0,0,0,0,0,12416,0,0,0,966.37563,2696.4854,9044.1746,1767,174,2173.7849,2211.4405,2252.8406,2272.7932,895.60772,-51843.581,1437.2397,-50406.341,0.30033188,-11.972604,13.864406
fluence_0p5_100ps,70000,4.9999,0.0873,-0.11375,-0.0298425,-0.13851,-0.09441,0.0441,-0.1180475,0.99010043,0.53277081,1443,62,0.16438005,9.652271,1305,128,6038.0092,971,0,0,0,0,0,12416,0,0,0,1141.4082,2993.4895,8450.178,2593,377,2346.771,2379.7671,2418.2123,2448.3912,1084.6535,-51535.979,1740.6137,-49795.365,0.38771121,-12.960687,15.95299
fluence_0p5_100ps,80000,5.9999,0.0742,-0.12293,-0.0477825,-0.1519275,-0.1167125,0.035215,-0.14035,0.99280591,0.79915621,1329,61,0.10014463,10.383285,1284,128,6553.0922,1050,0,0,0,0,0,12416,0,0,0,1333.8526,3487.442,10915.519,3292,613,2497.1206,2526.143,2559.5607,2571.7744,1263.4934,-51209.729,2027.6096,-49182.119,0.49322317,-13.892295,17.207813
fluence_0p5_100ps,90000,6.9999,0.0945,-0.10833,-0.0917225,-0.10387,-0.1130975,0,-0.136735,0.99608593,0.53277081,1345,59,0.3458194,11.44334,1343,129,7263.3408,1179,0,0,0,0,0,12416,0,0,0,1512.2637,4047.6853,12022.203,3901,854,2618.0997,2639.7646,2666.8631,2689.6307,1420.1491,-50929.164,2279.0051,-48650.159,0.44558816,-14.959563,18.69241
fluence_0p5_100ps,100000,7.9999,0.1425,-0.0387575,0.0058725,-0.0116375,-0.07299,0,-0.0966275,1.0010952,0.53277081,1360,62,0.0676333,11.7557,1302,129,7281.5,1265,0,0,0,0,0,12416,0,0,0,1718.4902,4634.3146,12342.798,4439,1110,2726.5239,2743.729,2762.6856,2774.9787,1566.8613,-50632.707,2514.4437,-48118.264,0.43771084,-15.865723,19.528565
fluence_0p5_100ps,110000,8.9999,0.2439,-0.045135,0.0171775,-0.03606,-0.01935,0.01671,-0.0429875,0.99840299,0.79915621,1361,59,0.1474641,12.30367,1330,129,7698.0449,1454,0,0,0,0,0,12416,0,0,0,1799.9335,4715.1648,14278.586,4859,1425,2809.634,2824.4966,2843.6451,2861.5247,1688.3795,-50383.611,2709.4519,-47674.159,0.46009815,-16.058181,20.754707
fluence_0p5_100ps,120000,9.9999,0.2251,-0.077235,-0.0681425,-0.0945475,-0.1098925,0,-0.13353,1.0069534,0.79915621,1311,52,0.17008823,13.09929,1334,129,8202.3788,1516,0,0,0,0,0,12416,0,0,0,1924.1476,4861.3342,16585.177,5225,1626,2891.449,2907.3335,2925.6097,2943.2723,1806.9037,-50088.599,2899.6552,-47188.943,0.42664463,-17.480173,21.701233
