case,step,time_ps,raw_lift_outlier_sensitive_nm,robust_p95_lift_nm,center_crater_depth_nm,rim_lift_nm,center_surface_z_p95_nm,edge_surface_z_p95_nm,bin_density_mean_check_initial,low_density_area_fraction,void_area_fraction,neighbor_density_surface_mean,atom_T_raw_mean_K,atom_T_raw_p95_K,atom_T_thermal_mean_K,atom_T_thermal_p95_K,ejecta_T_thermal_mean_K,Te_min_K,Te_mean_K,Te_p95_K,Te_max_K,thermo_Tl_K,upward_atoms,vapor_candidate_count,detached_candidate_count,stable_ejecta_count,cluster_ejecta_count,largest_ejecta_cluster_size,ejected_mass_fraction,bulk_component_size,detached_atom_count,pressure_GPa_p01,pressure_GPa_p99,von_mises_stress_GPa_p99,thermo_pe_eV,thermo_ke_eV,thermo_total_eV
fluence_0p5_100ps,30000,0.9999,0.0295,-0.0035625,0.0607025,-0.00667,-0.6650725,-0.60437,1,0,0,1.0112127,351.34284,1009.3347,307.31101,884.0771,,1206.4377,1305.022,1410.2965,1447.959,331.48487,904,601,0,0,0,0,0,12416,0,-2.9488489,3.063297,8.098904,-52833.567,531.95522,-52301.612
fluence_0p5_100ps,40000,1.9999,0.0551,0.0028825,0.0514175,-0.0725275,-0.5885125,-0.537095,,0.11641791,0.031343284,1.0093125,563.90175,1555.2766,490.32846,1340.0944,,1653.9512,1719.1708,1791.8314,1826.2571,522.43449,885,588,0,0,0,0,0,12416,0,-3.2399165,3.9027047,10.404624,-52527.022,838.38444,-51688.638
fluence_0p5_100ps,50000,2.9999,0.0934,0.010265,0.0656875,-0.0565175,-0.5862625,-0.520575,,0.1619403,0.053731343,1.0155996,767.20521,2013.4442,670.29221,1745.2088,,1948.9367,1992.627,2040.6774,2065.9773,713.6706,863,648,0,0,0,0,0,12416,0,-3.8969812,4.6811571,11.772397,-52208.106,1145.2734,-51062.833
fluence_0p5_100ps,60000,3.9999,0.0895,0.0246125,0.0591,-0.00062,-0.5664,-0.5073,,0.1858209,0.046268657,1.0151548,913.53554,2527.5105,814.45205,2166.0575,,2173.7849,2211.4405,2252.8406,2272.7932,895.60772,886,707,0,0,0,0,0,12416,0,-4.5212648,4.8706868,12.891724,-51843.581,1437.2397,-50406.341
fluence_0p5_100ps,70000,4.9999,0.1168,0.0508375,0,-0.0423825,-0.51765,-0.5826625,,0.17164179,0.032835821,1.015101,1100.0133,2833.7599,975.49321,2590.8939,,2346.771,2379.7671,2418.2123,2448.3912,1084.6535,883,765,0,0,0,0,0,12416,0,-4.3057637,5.5757652,13.277328,-51535.979,1740.6137,-49795.365
fluence_0p5_100ps,80000,5.9999,0.1037,0.04725,0.0712325,0.0453675,-0.602505,-0.5312725,,0.1738806,0.026865672,1.0194454,1253.2062,3220.0256,1103.5646,2810.8962,,2497.1206,2526.143,2559.5607,2571.7744,1263.4934,871,797,0,0,0,0,0,12416,0,-4.4527456,6.119585,15.545185,-51209.729,2027.6096,-49182.119
fluence_0p5_100ps,90000,6.9999,0.124,0.06672,0.030985,0.0801575,-0.527785,-0.4968,,0.21791045,0.039552239,1.0271132,1433.6712,3657.6176,1245.7818,3068.537,,2618.0997,2639.7646,2666.8631,2689.6307,1420.1491,892,895,0,0,0,0,0,12416,0,-5.286904,6.0575214,15.617484,-50929.164,2279.0051,-48650.159
fluence_0p5_100ps,100000,7.9999,0.172,0.091355,0.01135,0.084725,-0.4569325,-0.4455825,,0.23656716,0.047014925,1.0257823,1555.9171,3818.0141,1361.2191,3328.3269,,2726.5239,2743.729,2762.6856,2774.9787,1566.8613,872,962,0,0,0,0,0,12416,0,-5.4915046,6.5151421,16.231498,-50632.707,2514.4437,-48118.264
fluence_0p5_100ps,110000,8.9999,0.2734,0.11188,0.05385,0.130215,-0.5111875,-0.4573375,,0.24029851,0.047014925,1.0255549,1637.2917,4061.5713,1431.636,3479.9616,,2809.634,2824.4966,2843.6451,2861.5247,1688.3795,856,1140,0,0,0,0,0,12416,0,-5.4883686,7.5671425,16.855061,-50383.611,2709.4519,-47674.159
fluence_0p5_100ps,120000,9.9999,0.2546,0.09388,0,-0.0202275,-0.49116,-0.54809,,0.24626866,0.035074627,1.0340638,1761.4628,4282.08,1543.4693,3560.8936,,2891.449,2907.3335,2925.6097,2943.2723,1806.9037,876,1119,0,0,0,0,0,12416,0,-5.6294102,7.3599349,17.656206,-50088.599,2899.6552,-47188.943
fluence_0p5_100ps,130000,10.9999,0.2898,0.091825,0,0.0719,-0.462995,-0.470985,,0.24850746,0.042537313,1.0441231,1865.2999,4514.1924,1622.1614,3826.4503,,2970.3312,2984.6553,3002.249,3019.2342,1949.2368,846,1248,0,0,0,0,0,12416,0,-6.2081524,8.4383295,18.16581,-49836.465,3128.0664,-46708.399
fluence_0p5_100ps,140000,11.9999,0.306,0.1319775,0.0787225,0.1408525,-0.491045,-0.4123225,,0.23059701,0.030597015,1.0702508,1896.2912,4834.45,1635.4031,4042.1986,,3037.997,3051.6476,3066.5916,3079.7977,2063.6814,839,1385,0,0,0,0,0,12416,0,-6.2194838,8.2315803,19.533167,-49582.234,3311.7231,-46270.511
fluence_0p5_100ps,150000,12.9999,0.3373,0.1202125,0.0754125,0.1142925,-0.5231125,-0.4477,,0.23955224,0.032089552,1.11703,1918.2834,4879.2666,1646.3738,3863.8401,,3102.2987,3110.9071,3122.0181,3138.2939,2129.6449,777,1445,0,0,0,0,0,12416,0,-6.4306873,8.070541,19.482972,-49283.309,3417.579,-45865.73
fluence_0p5_100ps,160000,13.9999,0.3354,0.128365,0.0037,0.1788975,-0.4593175,-0.4556175,,0.25149254,0.025373134,1.146459,1950.3141,4731.4831,1704.9493,4221.6239,,3150.7761,3160.007,3173.1271,3190.126,2218.2711,797,1515,0,0,0,0,0,12416,0,-6.5299975,9.0147087,20.146548,-49077.769,3559.8032,-45517.966
fluence_0p5_100ps,170000,14.9999,0.4106,0.1683725,0.080135,0.25393,-0.47773,-0.397595,,0.22910448,0.026865672,1.2051487,1970.7508,4889.3672,1718.2658,4069.2485,,3206.0983,3215.6329,3228.5364,3252.196,2279.0311,842,1548,0,0,0,0,0,12416,0,-7.4255871,7.8483037,20.021962,-48766.794,3657.3086,-45109.486
