case,step,time_ps,x_nm,surface_z_nm
fluence_0p5_100ps,30000,0.9999,-2.0724,-0.6804
fluence_0p5_100ps,30000,0.9999,-1.8724,-0.50616
fluence_0p5_100ps,30000,0.9999,-1.6724,-0.7927
fluence_0p5_100ps,30000,0.9999,-1.4724,-0.41646
fluence_0p5_100ps,30000,0.9999,-1.2724,-0.67414
fluence_0p5_100ps,30000,0.9999,-1.0724,-0.535635
fluence_0p5_100ps,30000,0.9999,-0.8724,-0.592345
fluence_0p5_100ps,30000,0.9999,-0.6724,-0.43162
fluence_0p5_100ps,30000,0.9999,-0.4724,-0.66383
fluence_0p5_100ps,30000,0.9999,-0.2724,-0.540705
fluence_0p5_100ps,30000,0.9999,-0.0724,-0.67093
fluence_0p5_100ps,30000,0.9999,0.1276,-0.666315
fluence_0p5_100ps,30000,0.9999,0.3276,-0.66852
fluence_0p5_100ps,30000,0.9999,0.5276,-0.54581
fluence_0p5_100ps,30000,0.9999,0.7276,-0.671975
fluence_0p5_100ps,30000,0.9999,0.9276,-0.40001
fluence_0p5_100ps,30000,0.9999,1.1276,-0.66262
fluence_0p5_100ps,30000,0.9999,1.3276,-0.53776
fluence_0p5_100ps,30000,0.9999,1.5276,-0.53532
fluence_0p5_100ps,30000,0.9999,1.7276,-0.67342
fluence_0p5_100ps,30000,0.9999,1.9276,-0.4078
fluence_0p5_100ps,30000,0.9999,2.1276,-1.07741
fluence_0p5_100ps,40000,1.9999,-2.0724,-0.91668
fluence_0p5_100ps,40000,1.9999,-1.8724,-0.52704
fluence_0p5_100ps,40000,1.9999,-1.6724,-0.78686
fluence_0p5_100ps,40000,1.9999,-1.4724,-0.5122
fluence_0p5_100ps,40000,1.9999,-1.2724,-0.65444
fluence_0p5_100ps,40000,1.9999,-1.0724,-0.51968
fluence_0p5_100ps,40000,1.9999,-0.8724,-0.61263
fluence_0p5_100ps,40000,1.9999,-0.6724,-0.4238
fluence_0p5_100ps,40000,1.9999,-0.4724,-0.6605
fluence_0p5_100ps,40000,1.9999,-0.2724,-0.5272
fluence_0p5_100ps,40000,1.9999,-0.0724,-0.647025
fluence_0p5_100ps,40000,1.9999,0.1276,-0.39815
fluence_0p5_100ps,40000,1.9999,0.3276,-0.66249
fluence_0p5_100ps,40000,1.9999,0.5276,-0.53
fluence_0p5_100ps,40000,1.9999,0.7276,-0.66319
fluence_0p5_100ps,40000,1.9999,0.9276,-0.393775
fluence_0p5_100ps,40000,1.9999,1.1276,-0.65472
fluence_0p5_100ps,40000,1.9999,1.3276,-0.53372
fluence_0p5_100ps,40000,1.9999,1.5276,-0.54189
fluence_0p5_100ps,40000,1.9999,1.7276,-0.4079
fluence_0p5_100ps,40000,1.9999,1.9276,-0.5323
fluence_0p5_100ps,40000,1.9999,2.1276,-0.796405
fluence_0p5_100ps,50000,2.9999,-2.0724,-0.9071
fluence_0p5_100ps,50000,2.9999,-1.8724,-0.51609
fluence_0p5_100ps,50000,2.9999,-1.6724,-0.76219
fluence_0p5_100ps,50000,2.9999,-1.4724,-0.50485
fluence_0p5_100ps,50000,2.9999,-1.2724,-0.64709
fluence_0p5_100ps,50000,2.9999,-1.0724,-0.50045
fluence_0p5_100ps,50000,2.9999,-0.8724,-0.78496
fluence_0p5_100ps,50000,2.9999,-0.6724,-0.5178
fluence_0p5_100ps,50000,2.9999,-0.4724,-0.756585
fluence_0p5_100ps,50000,2.9999,-0.2724,-0.49665
fluence_0p5_100ps,50000,2.9999,-0.0724,-0.657595
fluence_0p5_100ps,50000,2.9999,0.1276,-0.47875
fluence_0p5_100ps,50000,2.9999,0.3276,-0.654925
