case,step,time_ps,max_atom_ke_eV,max_vz_A_ps,surface_zmax_nm,top1pct_ke_threshold_eV,top1pct_ke_zmin_nm,top1pct_ke_zmax_nm,raw_lift_outlier_sensitive_nm,robust_p95_lift_nm,center_crater_depth_nm,rim_lift_nm,center_surface_z_p95_nm,edge_surface_z_p95_nm,bin_density_mean_check_initial,low_density_area_fraction,void_area_fraction,heated_surface_region_depth_nm,heated_surface_region_above_surface_nm,heated_surface_atom_count,continuous_field_min_atom_count_per_bin,stress_field_min_atom_count_per_bin,neighbor_density_surface_mean,atom_T_raw_mean_K,atom_T_raw_p95_K,atom_T_raw_max_K,atom_T_thermal_mean_K,atom_T_thermal_p95_K,atom_T_thermal_max_K,global_atom_T_thermal_mean_K,molten_atom_count,molten_atom_fraction,vapor_threshold_atom_count,vapor_threshold_atom_fraction,ejecta_T_thermal_mean_K,Te_min_K,Te_mean_K,Te_p95_K,Te_max_K,thermo_Tl_K,upward_atoms,vapor_candidate_count,detached_candidate_count,stable_ejecta_count,cluster_ejecta_count,largest_ejecta_cluster_size,ejected_mass_fraction,bulk_component_size,bulk_component_fraction,bulk_component_delta_count,detached_atom_count,pressure_GPa_p01,pressure_GPa_p99,von_mises_stress_GPa_p99,thermo_pe_eV,thermo_ke_eV,thermo_total_eV,thermo_max_atom_ke_eV,thermo_max_vz_A_ps,thermo_zmax_A
fluence_0p5_20ps_free_surface_ablation_debug,0,0,0.967326,10.5733,0.1553,0.083248956,-28.959637,0.1449,0.1553,-0.0020775,0,-0.0017925,-1.36702,-1.3674075,1,0,0,3,0.5,16361,2,3,1.0004742,191.90299,508.96256,5702.5763,183.33439,487.07316,5312.2395,153.7998,12,7.5205876e-05,2,1.2534313e-05,,,,,,161.06812,8267,3392,0,0,0,0,0,159562,1,0,0,-1.2160889,1.5554937,3.6674198,-685831.41,3322.0102,-682509.4,0.96732639,10.573299,299.1934
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,0.812212,14.7937,0.1688,0.14249189,-28.816725,0.1628,0.1688,0.0027225,0.0023525,0.002075,-1.3607,-1.3583475,,0.038325555,0.010323858,3,0.5,16567,2,3,1.0006937,430.6982,1128.4473,5623.5727,410.40494,1073.5508,4928.7117,212.75003,164,0.0010278136,6,3.7602938e-05,,,,,,223.42057,8453,3414,0,0,0,1,0,159561,0.99999373,-1,1,-1.5591638,2.053245,4.789357,-684521.62,4608.022,-679913.6,0.81221167,14.793707,299.32794
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,0.895856,16.9834,0.1923,0.22238457,-9.9282,0.1821,0.1923,0.01709,0.0122725,0.0195425,-1.349225,-1.3369525,,0.062508839,0.016263612,3,0.5,16745,2,3,1.0014317,682.62308,1798.6152,6930.6515,649.36822,1705.86,6989.1746,279.10386,1397,0.0087552174,34,0.00021308332,,,,,,293.53619,8587,3378,0,0,0,1,0,159561,0.99999373,-1,1,-1.649301,2.5163343,5.8200179,-683253.4,6054.148,-677199.25,0.89585636,16.983362,299.56301
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,1.02048,19.746,0.2167,0.29294856,-9.9246,0.1889,0.2167,0.03382,0.002645,0.030655,-1.330975,-1.32833,,0.084712205,0.022627634,3,0.5,16794,2,3,1.0018269,898.50021,2338.556,7894.7858,855.26856,2231.597,7764.8272,341.46657,3684,0.023088204,149,0.00093380629,,,,,,359.17587,8631,3473,0,0,0,0,0,159562,1,0,0,-2.0586016,2.7908799,7.1297385,-681773.22,7407.9584,-674365.26,1.0204772,19.746014,299.80705
fluence_0p5_20ps_free_surface_ablation_debug,4000,2,1.15219,23.3581,0.2402,0.37022603,-9.7914,0.2157,0.2402,0.0514075,0.057995,0.04633,-1.31477,-1.256775,,0.11412813,0.030688729,3,0.5,16720,2,3,1.0016393,1111.1306,2856.1845,7374.7254,1056.8079,2697.8088,7952.9972,407.56509,6596,0.041338163,515,0.0032275855,,,,,,428.81981,8472,3486,0,0,0,0,0,159562,1,0,0,-2.1501686,3.0542366,7.7175304,-680255.3,8844.3563,-671410.94,1.1521948,23.358136,300.04189
fluence_0p5_20ps_free_surface_ablation_debug,5000,2.5,1.31824,23.1332,0.2602,0.43723577,-9.7783,0.2284,0.2602,0.0667625,0.0609425,0.0603675,-1.29574,-1.2347975,,0.13039174,0.032385801,3,0.5,16585,2,3,1.0019294,1295.6257,3203.4102,8503.7135,1229.0769,3054.9114,8036.0427,474.65357,9680,0.060666073,1098,0.0068813377,,,,,,499.69363,8317,3800,0,0,0,1,0,159561,0.99999373,-1,1,-2.2303872,3.2322794,8.0744036,-678642.03,10306.12,-668335.91,1.3182411,23.133216,300.24204
fluence_0p5_20ps_free_surface_ablation_debug,6000,3,2.16665,24.5409,0.2832,0.51104014,-9.9138,0.2468,0.2832,0.05856,0.1134025,0.0827175,-1.3752,-1.2617975,,0.14170556,0.033658606,3,0.5,16325,2,3,1.0029635,1461.2169,3573.7336,11825.004,1386.7512,3343.5578,11283.231,546.14741,12939,0.081090736,2023,0.012678457,,,,,,574.82679,8024,4149,0,0,0,1,0,159561,0.99999373,-1,1,-2.3040541,3.2895287,8.7187464,-676995.92,11855.732,-665140.19,2.1666492,24.540871,300.47226
fluence_0p5_20ps_free_surface_ablation_debug,7000,3.5,1.54538,32.4513,0.3127,0.58677554,-9.7837,0.268,0.3127,0.0834375,0.08799,0.083185,-1.27887,-1.19088,,0.15202942,0.037052751,3,0.5,16043,2,3,1.0051359,1620.8176,3930.9408,11893.471,1535.072,3583.8029,10829.057,618.40686,15978,0.10013662,3151,0.01974781,,,,,,651.22741,7797,4914,0,0,0,1,0,159561,0.99999373,-1,1,-2.4663679,3.4971314,9.2591573,-675255.62,13431.486,-661824.14,1.5453817,32.451303,300.76723
fluence_0p5_20ps_free_surface_ablation_debug,8000,4,2.10776,29.7764,0.3972,0.65112002,-10.04,0.3336,0.3972,0.1189925,0.0229175,0.12569,-1.24782,-1.2249025,,0.15683779,0.035638524,3,0.5,15785,2,3,1.0090744,1778.2884,4297.7039,11539.146,1687.0998,4006.5573,12252.803,690.64672,18916,0.11854953,4391,0.027519083,,,,,,726.0313,7437,5538,0,0,0,0,0,159562,1,0,0,-2.6896183,3.6838486,9.5540859,-673362.79,14974.307,-658388.49,2.1077614,29.776448,301.61187
fluence_0p5_20ps_free_surface_ablation_debug,9000,4.5,2.01789,30.7258,0.4076,0.72373559,-9.7396,0.3332,0.4076,0.10502,0,0.065105,-1.2254,-1.292765,,0.16786876,0.04016405,3,0.5,15548,2,3,1.0176534,1941.43,4748.0242,14812.626,1835.7562,4507.4585,13873.093,763.45237,21593,0.13532671,5673,0.035553578,,,,,,803.64973,7159,6230,0,0,0,0,0,159562,1,0,0,-2.9341688,3.7726998,10.228747,-671409.61,16575.178,-654834.43,2.0178879,30.725794,301.71637
fluence_0p5_20ps_free_surface_ablation_debug,10000,5,2.5265,38.3053,0.4439,0.81159804,-9.7765,0.3343,0.4439,0.0310875,0.275805,0.0066,-1.48311,-1.207305,,0.1899307,0.042285391,3,0.5,15361,2,3,1.0315962,2086.5895,5292.2869,14917.453,1972.9779,5042.0755,13657.722,838.56774,23907,0.14982891,7168,0.044922977,,,,,,883.56245,6867,6865,0,0,0,0,0,159562,1,0,0,-2.9296721,4.1079375,10.497197,-669386.98,18223.368,-651163.61,2.526499,38.305278,302.07939
fluence_0p5_20ps_free_surface_ablation_debug,11000,5.5,2.45778,36.3503,0.5508,0.86707868,-10.0191,0.3778,0.5508,0.0758025,0.335275,0.108835,-1.4572,-1.121925,,0.21326545,0.047659454,3,0.5,15163,2,3,1.054988,2215.3987,5736.6463,17209.346,2083.8574,5443.0372,15018.122,909.21375,25960,0.16269538,8653,0.054229704,,,,,,957.5544,6531,7644,0,0,0,0,0,159562,1,0,0,-3.3158986,4.2148311,10.783791,-667127.36,19749.443,-647377.92,2.4577766,36.350255,303.14774
fluence_0p5_20ps_free_surface_ablation_debug,12000,6,3.72179,35.2207,0.5332,0.92111871,-9.4454,0.4993,0.5332,0.0328925,0.098385,0.05992,-1.337435,-1.23905,,0.22868053,0.051053599,3,0.5,15176,2,3,1.1068274,2328.723,5972.1589,22678.323,2194.8023,5694.0041,20895.539,973.7504,28059,0.17585014,9756,0.061142377,,,,,,1026.8465,6441,8131,0,0,0,0,0,159562,1,0,0,-3.5921047,4.6408256,11.372832,-664658.4,21178.584,-643479.82,3.7217906,35.220684,302.97174
fluence_0p5_20ps_free_surface_ablation_debug,13000,6.5,3.76432,36.612,0.5654,0.95877157,-10.4231,0.5654,0.5654,0.08304,0.27636,0.25876,-1.31168,-1.03532,,0.23589308,0.049497949,3,0.5,15346,2,3,1.2194094,2339.8915,6066.2464,29122.08,2198.237,5841.8022,26228.212,1020.2771,29251,0.18332059,10477,0.065660997,,,,,,1076.889,6589,8367,0,0,0,1,0,159561,0.99999373,-1,1,-4.1484882,5.1380042,11.398283,-661682.8,22210.705,-639472.1,3.7643191,36.61203,303.29368
fluence_0p5_20ps_free_surface_ablation_debug,14000,7,3.35873,38.2927,0.6033,0.97232572,-10.5444,0.5143,0.6033,0.0949125,0.579625,0.28481,-1.53183,-0.952205,,0.24013577,0.047518031,3,0.5,15418,2,3,1.3824978,2361.9095,6109.7552,16657.048,2217.3812,5768.818,18344.504,1066.1405,30656,0.19212594,11295,0.070787531,,,,,,1125.5346,6525,8847,0,0,0,0,0,159562,1,0,0,-4.8719537,4.9823482,11.150677,-658572.09,23214.015,-635358.07,3.3587299,38.292691,303.67301
fluence_0p5_20ps_free_surface_ablation_debug,15000,7.5,3.05723,38.4058,0.7088,1.020679,-10.4134,0.5533,0.7088,0.0816225,0.12906,0.15043,-1.2776,-1.14854,,0.23631735,0.046952341,3,0.5,15292,2,3,1.5074557,2493.9442,6658.1364,22226.056,2339.5723,6266.2703,17764.427,1119.412,31876,0.19977188,12310,0.077148695,,,,,,1181.5737,6182,9109,0,0,0,0,0,159562,1,0,0,-5.1174806,4.7609814,11.423904,-655511.3,24369.813,-631141.49,3.0572329,38.405836,304.72768
fluence_0p5_20ps_free_surface_ablation_debug,16000,8,3.38443,35.5438,0.6881,1.0862795,-10.2251,0.5789,0.6881,-0.0100675,0.235445,0.128275,-1.40614,-1.170695,,0.23886296,0.046810918,3,0.5,14985,2,3,1.5610552,2737.9017,7400.3234,26183.12,2555.27,6979.5922,28295.857,1180.5349,33426,0.20948597,13386,0.083892155,,,,,,1245.7737,5868,9556,0,0,0,0,0,159562,1,0,0,-5.1530456,5.4794512,11.445527,-652520.38,25693.932,-626826.45,3.3844306,35.543774,304.52124
fluence_0p5_20ps_free_surface_ablation_debug,17000,8.5,3.86755,42.9607,0.8612,1.1666412,-9.711,0.6777,0.8612,-0.070625,0.167435,0.008425,-1.45798,-1.290545,,0.23744873,0.045255268,3,0.5,14398,2,3,1.5519534,3019.4869,8308.9897,29920.703,2812.4107,7847.261,28850.592,1252.3018,34888,0.21864855,14571,0.091318735,,,,,,1323.1031,5471,10067,0,0,0,0,0,159561,0.99999373,-1,0,-5.3240195,5.4185969,11.727851,-649706.21,27288.84,-622417.37,3.8675482,42.960714,306.25245
fluence_0p5_20ps_free_surface_ablation_debug,18000,9,3.47179,40.9534,0.9463,1.2560926,-9.5296,0.8649,0.9463,-0.14095,0.392885,0.00563,-1.659245,-1.26636,,0.23575166,0.045396691,3,0.5,13785,2,3,1.5352469,3265.0045,9084.8368,26610.939,3062.4648,8771.8915,24526.479,1328.2689,36465,0.22853186,15903,0.099666587,,,,,,1402.2072,5106,10864,0,0,0,1,0,159560,0.99998747,-2,1,-5.3343618,6.1327887,11.600179,-646839.57,28920.352,-617919.21,3.4717866,40.953425,307.1029
