case,step,time_ps,heat_group,depth_lo_nm,depth_hi_nm,atom_count,mean_T_thermal_K,p95_T_thermal_K,max_ke_eV,max_vz_A_ps,zmin_nm,zmax_nm
fluence_0p5_20ps_free_surface_ablation_debug,0,0,heat_01,0,1,5701,197.2381,530.38423,0.236237,9.31501,-0.9791,0
fluence_0p5_20ps_free_surface_ablation_debug,0,0,heat_02,1,2,5054,169.71058,455.14627,0.155515,9.0171,-1.9292,-1.0819
fluence_0p5_20ps_free_surface_ablation_debug,0,0,heat_03,2,3,5334,168.20224,437.9586,0.167963,8.51975,-2.9999,-2.0347
fluence_0p5_20ps_free_surface_ablation_debug,0,0,heat_04,3,4,5496,165.17458,426.21243,0.136092,8.66852,-3.9682,-3
fluence_0p5_20ps_free_surface_ablation_debug,0,0,heat_05,4,5,5054,160.21277,419.13305,0.194497,9.26849,-4.9182,-4.0716
fluence_0p5_20ps_free_surface_ablation_debug,0,0,heat_06,5,6,5738,159.41952,415.77501,0.124944,8.47331,-5.9998,-5.0243
fluence_0p5_20ps_free_surface_ablation_debug,0,0,heat_07,6,7,5092,151.95647,400.06509,0.116958,8.51091,-6.958,-6
fluence_0p5_20ps_free_surface_ablation_debug,0,0,heat_08,7,8,5054,155.22085,405.26268,0.141646,8.37705,-7.9121,-7.0663
fluence_0p5_20ps_free_surface_ablation_debug,0,0,heat_09,8,9,5776,150.11033,397.26427,0.121139,8.45611,-8.9981,-8.0161
fluence_0p5_20ps_free_surface_ablation_debug,0,0,heat_10,9,10,5054,146.77733,380.83885,0.134534,8.38146,-9.9491,-9.1021
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,heat_01,0,1,5428,442.00296,1138.0317,0.361588,14.7937,-0.9744,0
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,heat_02,1,2,5054,406.07685,1042.148,0.365257,12.517,-1.9282,-1.0651
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,heat_03,2,3,5535,370.88141,966.6242,0.372509,13.0534,-2.9999,-2.0235
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,heat_04,3,4,5295,365.63608,957.46517,0.321166,12.5215,-3.9726,-3
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,heat_05,4,5,5054,338.66192,873.98289,0.292013,10.5692,-4.9205,-4.0582
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,heat_06,5,6,5750,321.46375,826.71003,0.3626,12.8059,-5.9999,-5.0143
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,heat_07,6,7,5080,305.56197,810.80136,0.282299,11.0008,-6.963,-6.0003
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,heat_08,7,8,5054,286.6818,742.17912,0.268071,10.4385,-7.9167,-7.0544
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,heat_09,8,9,5776,271.15446,708.73079,0.215952,10.4414,-8.9996,-8.0043
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,heat_10,9,10,5054,235.35576,633.51279,0.210059,10.8401,-9.9477,-9.0962
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,heat_01,0,1,5098,674.93591,1760.0969,0.58248,16.9834,-0.973,0
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,heat_02,1,2,5054,646.94218,1658.6371,0.697449,15.1373,-1.9282,-1.0503
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,heat_03,2,3,5702,602.08471,1591.7778,0.623759,16.0701,-2.9999,-2.0034
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,heat_04,3,4,5128,559.97044,1428.3732,0.479929,14.5544,-3.9699,-3
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,heat_05,4,5,5054,538.25528,1379.4146,0.535939,14.7821,-4.9215,-4.046
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,heat_06,5,6,5750,491.17597,1268.8005,0.509116,14.6718,-5.9999,-5.0076
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,heat_07,6,7,5080,473.52196,1220.8341,0.490131,14.8509,-6.9632,-6
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,heat_08,7,8,5054,436.85553,1110.5433,0.455421,13.8785,-7.9206,-7.0451
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,heat_09,8,9,5775,394.78079,1045.2988,0.478129,13.4829,-8.9969,-8.001
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,heat_10,9,10,5055,331.74415,882.60453,0.294829,12.4446,-9.95,-9.0046
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,heat_01,0,1,5059,904.31172,2376.248,0.822698,18.9691,-0.9661,-0.0022
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,heat_02,1,2,5091,865.08583,2265.8405,0.669149,16.1261,-1.9998,-1.0231
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,heat_03,2,3,5731,789.35668,2032.8883,0.658001,16.4889,-2.9999,-2.0001
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,heat_04,3,4,5062,761.0734,2003.8588,0.831017,18.0075,-3.9652,-3.0005
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,heat_05,4,5,5067,719.46969,1891.444,0.77365,19.746,-4.9999,-4.0364
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,heat_06,5,6,5755,636.11561,1683.6092,0.554337,16.9993,-5.9997,-5.0007
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,heat_07,6,7,5062,612.062,1585.0554,0.512164,17.0648,-6.9626,-6
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,heat_08,7,8,5061,567.25575,1498.4012,0.558939,15.0942,-7.9997,-7.0425
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,heat_09,8,9,5762,505.33732,1350.7283,0.511033,13.2716,-8.9987,-8.0003
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,heat_10,9,10,5061,423.46155,1134.6196,0.350634,14.6766,-9.9542,-9
fluence_0p5_20ps_free_surface_ablation_debug,4000,2,heat_01,0,1,5054,1147.5458,3010.7919,1.02299,20.6201,-0.9543,-0.0316
fluence_0p5_20ps_free_surface_ablation_debug,4000,2,heat_02,1,2,5384,1103.15,2829.0412,0.953257,23.3581,-1.9999,-1.0042
fluence_0p5_20ps_free_surface_ablation_debug,4000,2,heat_03,2,3,5446,1007.7225,2638.5605,0.944281,20.0243,-2.9987,-2
fluence_0p5_20ps_free_surface_ablation_debug,4000,2,heat_04,3,4,5054,971.92673,2507.7421,0.837247,22.48,-3.9563,-3.057
fluence_0p5_20ps_free_surface_ablation_debug,4000,2,heat_05,4,5,5149,890.23828,2285.19,0.799132,18.4162,-4.9999,-4.0226
fluence_0p5_20ps_free_surface_ablation_debug,4000,2,heat_06,5,6,5680,822.31573,2146.0925,0.702971,19.4012,-5.9996,-5
fluence_0p5_20ps_free_surface_ablation_debug,4000,2,heat_07,6,7,5055,754.03791,1990.3121,0.847032,19.168,-6.9674,-6.0017
fluence_0p5_20ps_free_surface_ablation_debug,4000,2,heat_08,7,8,5082,696.20657,1838.4119,0.696003,15.8014,-7.9997,-7.0279
fluence_0p5_20ps_free_surface_ablation_debug,4000,2,heat_09,8,9,5747,625.41744,1603.1118,0.531532,13.9733,-8.9997,-8.0001
fluence_0p5_20ps_free_surface_ablation_debug,4000,2,heat_10,9,10,5055,508.95533,1352.9033,0.481833,16.008,-9.9549,-9.0078
fluence_0p5_20ps_free_surface_ablation_debug,5000,2.5,heat_01,0,1,5110,1349.1115,3539.0865,1.09919,22.6932,-0.9998,-0.0081
fluence_0p5_20ps_free_surface_ablation_debug,5000,2.5,heat_02,1,2,5614,1306.038,3319.7403,1.13323,22.1656,-1.9999,-1.0001
fluence_0p5_20ps_free_surface_ablation_debug,5000,2.5,heat_03,2,3,5160,1239.6455,3210.6925,1.31824,22.9053,-2.9899,-2
