case,step,time_ps,x_nm,surface_z_nm
fluence_0p5_20ps_free_surface_ablation_debug,0,0,-5.05945,-1.376615
fluence_0p5_20ps_free_surface_ablation_debug,0,0,-4.85945,-1.230565
fluence_0p5_20ps_free_surface_ablation_debug,0,0,-4.65945,-1.373235
fluence_0p5_20ps_free_surface_ablation_debug,0,0,-4.45945,-1.362345
fluence_0p5_20ps_free_surface_ablation_debug,0,0,-4.25945,-1.367875
fluence_0p5_20ps_free_surface_ablation_debug,0,0,-4.05945,-1.409
fluence_0p5_20ps_free_surface_ablation_debug,0,0,-3.85945,-1.36896
fluence_0p5_20ps_free_surface_ablation_debug,0,0,-3.65945,-1.36694
fluence_0p5_20ps_free_surface_ablation_debug,0,0,-3.45945,-1.36994
fluence_0p5_20ps_free_surface_ablation_debug,0,0,-3.25945,-1.2395
fluence_0p5_20ps_free_surface_ablation_debug,0,0,-3.05945,-1.37062
fluence_0p5_20ps_free_surface_ablation_debug,0,0,-2.85945,-1.36161
fluence_0p5_20ps_free_surface_ablation_debug,0,0,-2.65945,-1.36874
fluence_0p5_20ps_free_surface_ablation_debug,0,0,-2.45945,-1.2362
fluence_0p5_20ps_free_surface_ablation_debug,0,0,-2.25945,-1.3702
fluence_0p5_20ps_free_surface_ablation_debug,0,0,-2.05945,-1.36818
fluence_0p5_20ps_free_surface_ablation_debug,0,0,-1.85945,-1.37035
fluence_0p5_20ps_free_surface_ablation_debug,0,0,-1.65945,-1.237175
fluence_0p5_20ps_free_surface_ablation_debug,0,0,-1.45945,-1.365245
fluence_0p5_20ps_free_surface_ablation_debug,0,0,-1.25945,-1.36702
fluence_0p5_20ps_free_surface_ablation_debug,0,0,-1.05945,-1.23542
fluence_0p5_20ps_free_surface_ablation_debug,0,0,-0.85945,-1.37131
fluence_0p5_20ps_free_surface_ablation_debug,0,0,-0.65945,-1.36636
fluence_0p5_20ps_free_surface_ablation_debug,0,0,-0.45945,-1.37112
fluence_0p5_20ps_free_surface_ablation_debug,0,0,-0.25945,-1.23866
fluence_0p5_20ps_free_surface_ablation_debug,0,0,-0.05945,-1.369
fluence_0p5_20ps_free_surface_ablation_debug,0,0,0.14055,-1.10717
fluence_0p5_20ps_free_surface_ablation_debug,0,0,0.34055,-1.37159
fluence_0p5_20ps_free_surface_ablation_debug,0,0,0.54055,-1.24489
fluence_0p5_20ps_free_surface_ablation_debug,0,0,0.74055,-1.369825
fluence_0p5_20ps_free_surface_ablation_debug,0,0,0.94055,-1.36135
fluence_0p5_20ps_free_surface_ablation_debug,0,0,1.14055,-1.37013
fluence_0p5_20ps_free_surface_ablation_debug,0,0,1.34055,-1.23812
fluence_0p5_20ps_free_surface_ablation_debug,0,0,1.54055,-1.368275
fluence_0p5_20ps_free_surface_ablation_debug,0,0,1.74055,-1.3675
fluence_0p5_20ps_free_surface_ablation_debug,0,0,1.94055,-1.36765
fluence_0p5_20ps_free_surface_ablation_debug,0,0,2.14055,-1.23522
fluence_0p5_20ps_free_surface_ablation_debug,0,0,2.34055,-1.237985
fluence_0p5_20ps_free_surface_ablation_debug,0,0,2.54055,-1.37333
fluence_0p5_20ps_free_surface_ablation_debug,0,0,2.74055,-1.23088
fluence_0p5_20ps_free_surface_ablation_debug,0,0,2.94055,-1.37006
fluence_0p5_20ps_free_surface_ablation_debug,0,0,3.14055,-1.367
fluence_0p5_20ps_free_surface_ablation_debug,0,0,3.34055,-1.3685
fluence_0p5_20ps_free_surface_ablation_debug,0,0,3.54055,-1.23747
fluence_0p5_20ps_free_surface_ablation_debug,0,0,3.74055,-1.36686
fluence_0p5_20ps_free_surface_ablation_debug,0,0,3.94055,-1.364435
fluence_0p5_20ps_free_surface_ablation_debug,0,0,4.14055,-1.36974
fluence_0p5_20ps_free_surface_ablation_debug,0,0,4.34055,-1.237415
fluence_0p5_20ps_free_surface_ablation_debug,0,0,4.54055,-1.37404
fluence_0p5_20ps_free_surface_ablation_debug,0,0,4.74055,-1.18375
fluence_0p5_20ps_free_surface_ablation_debug,0,0,4.94055,-1.369
fluence_0p5_20ps_free_surface_ablation_debug,0,0,5.14055,-0.95968
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,-5.05945,-1.36245
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,-4.85945,-1.22455
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,-4.65945,-1.497
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,-4.45945,-1.10245
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,-4.25945,-1.490735
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,-4.05945,-1.24302
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,-3.85945,-1.366465
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,-3.65945,-1.35815
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,-3.45945,-1.36922
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,-3.25945,-1.23259
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,-3.05945,-1.36365
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,-2.85945,-1.1045
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,-2.65945,-1.36405
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,-2.45945,-1.23206
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,-2.25945,-1.3716
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,-2.05945,-1.101495
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,-1.85945,-1.36106
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,-1.65945,-1.23536
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,-1.45945,-1.22378
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,-1.25945,-1.49798
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,-1.05945,-1.0868
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,-0.85945,-1.496085
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,-0.65945,-1.3546
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,-0.45945,-1.367905
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,-0.25945,-1.23221
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,-0.05945,-1.3635
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,0.14055,-1.09698
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,0.34055,-1.36815
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,0.54055,-1.236375
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,0.74055,-1.3607
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,0.94055,-1.358805
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,1.14055,-1.36368
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,1.34055,-1.23238
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,1.54055,-1.3658
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,1.74055,-1.358125
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,1.94055,-1.36433
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,2.14055,-1.23617
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,2.34055,-1.22785
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,2.54055,-1.3758
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,2.74055,-1.22755
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,2.94055,-1.474475
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,3.14055,-1.105085
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,3.34055,-1.366675
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,3.54055,-1.23096
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,3.74055,-1.36212
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,3.94055,-1.3558
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,4.14055,-1.36101
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,4.34055,-1.2328
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,4.54055,-1.358545
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,4.74055,-1.3516
fluence_0p5_20ps_free_surface_ablation_debug,1000,0.5,4.94055,-1.36744
