case,step,time_ps,max_atom_ke_eV,max_vz_A_ps,surface_zmax_nm,top1pct_ke_threshold_eV,top1pct_ke_zmin_nm,top1pct_ke_zmax_nm,raw_lift_outlier_sensitive_nm,robust_p95_lift_nm,center_crater_depth_nm,rim_lift_nm,center_surface_z_p95_nm,edge_surface_z_p95_nm,bin_density_mean_check_initial,low_density_area_fraction,void_area_fraction,heated_surface_region_depth_nm,heated_surface_region_above_surface_nm,heated_surface_atom_count,continuous_field_min_atom_count_per_bin,stress_field_min_atom_count_per_bin,neighbor_density_surface_mean,atom_T_raw_mean_K,atom_T_raw_p95_K,atom_T_raw_max_K,atom_T_thermal_mean_K,atom_T_thermal_p95_K,atom_T_thermal_max_K,global_atom_T_thermal_mean_K,molten_atom_count,molten_atom_fraction,vapor_threshold_atom_count,vapor_threshold_atom_fraction,ejecta_T_thermal_mean_K,Te_min_K,Te_mean_K,Te_p95_K,Te_max_K,thermo_Tl_K,upward_atoms,vapor_candidate_count,detached_candidate_count,stable_ejecta_count,cluster_ejecta_count,largest_ejecta_cluster_size,ejected_mass_fraction,bulk_component_size,bulk_component_fraction,bulk_component_delta_count,detached_atom_count,pressure_GPa_p01,pressure_GPa_p99,von_mises_stress_GPa_p99,thermo_pe_eV,thermo_ke_eV,thermo_total_eV,thermo_max_atom_ke_eV,thermo_max_vz_A_ps,thermo_zmax_A
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,0,0,0.967326,10.5733,0.1553,0.083248956,-28.959637,0.1449,0.1553,-0.0020775,0,-0.0017925,-1.36702,-1.3674075,1,0,0,3,0.5,16361,2,3,1.0004742,191.90299,508.96256,5702.5763,183.33439,487.07316,5312.2395,153.7998,12,7.5205876e-05,2,1.2534313e-05,,,,,,161.06812,8267,3392,0,0,0,0,0,159562,1,0,0,-1.2160889,1.5554937,3.6674198,-685831.41,3322.0102,-682509.4,0.96732639,10.573299,299.1934
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,1000,0.5,0.771838,13.5183,0.164,0.10376217,-28.955028,0.1582,0.164,0.002105,0.001725,0.002345,-1.36148,-1.359755,,0.037335596,0.01301089,3,0.5,16582,2,3,1.0011044,325.54428,862.12944,5446.9519,310.66592,827.53795,4714.212,171.32651,47,0.00029455635,2,1.2534313e-05,,,,,,179.80166,8412,3458,0,0,0,1,0,159561,0.99999373,-1,1,-1.4502518,1.712186,4.1268972,-685439.04,3708.3874,-681730.66,0.77183772,13.518262,299.28041
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,2000,1,0.863412,13.4389,0.1801,0.13500953,-28.952336,0.1711,0.1801,0.0121625,0.0096475,0.012455,-1.35449,-1.3448425,,0.066468675,0.020506293,3,0.5,16746,2,3,1.0010346,465.95984,1229.9551,6679.6535,444.48394,1167.9067,6312.0468,193.21654,210,0.0013161028,12,7.5205876e-05,,,,,,202.84836,8442,3428,0,0,0,0,0,159562,1,0,0,-1.5464904,1.8394829,4.6965106,-685100.07,4183.7227,-680916.35,0.86341175,13.438944,299.44097
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,3000,1.5,0.754182,16.7078,0.1863,0.16680586,-28.80936,0.1745,0.1863,0.019465,0.0641975,0.019145,-1.3439,-1.2797025,,0.089803422,0.029133079,3,0.5,16844,2,3,1.0008953,571.69612,1507.7522,4644.9792,544.95018,1436.5736,4560.8087,213.27135,516,0.0032338527,13,8.1473032e-05,,,,,,224.18272,8453,3435,0,0,0,1,0,159561,0.99999373,-1,1,-1.6549896,1.9473413,5.3236458,-684689.9,4623.7412,-680066.16,0.75418226,16.707828,299.50285
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,4000,2,0.73345,18.4229,0.2154,0.1996481,-5.6948,0.1896,0.2154,0.029,0.064625,0.0253175,-1.33568,-1.271055,,0.12558337,0.038325555,3,0.5,16907,2,3,0.99985318,679.57292,1807.6404,5674.2225,649.42764,1716.2898,6292.8651,232.31132,1009,0.0063235607,29,0.00018174753,,,,,,244.05723,8544,3276,0,0,0,0,0,159562,1,0,0,-1.7621501,2.0725953,5.4622412,-684213.5,5033.6506,-679179.85,0.73344981,18.422915,299.79351
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,5000,2.5,0.907901,19.7708,0.2047,0.22737415,-7.5895,0.2047,0.2047,0.03657,0.061995,0.036015,-1.326645,-1.26465,,0.14566539,0.047235186,3,0.5,16869,2,3,1.0009794,774.54271,2023.4009,7023.8357,739.5817,1936.4548,6298.8775,253.51629,1562,0.0097892982,56,0.00035096076,,,,,,266.26198,8418,3312,0,0,0,0,0,159562,1,0,0,-1.7309461,2.1824404,6.2727059,-683748.95,5491.6208,-678257.33,0.90790056,19.770832,299.68652
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,6000,3,0.921777,17.6932,0.2295,0.25700902,-7.0502,0.2039,0.2295,0.0453425,0.0785425,0.045795,-1.323505,-1.2449625,,0.16786876,0.053740631,3,0.5,16874,2,3,1.0003633,873.66963,2275.3694,7131.1853,832.10133,2172.2791,7076.0112,276.70628,2234,0.014000827,104,0.00065178426,,,,,,291.19837,8459,3269,0,0,0,0,0,159562,1,0,0,-1.8183823,2.2743914,6.3407196,-683304.56,6005.9308,-677298.63,0.92177737,17.693213,299.93546
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,7000,3.5,1.16159,24.0846,0.238,0.28457098,-7.7176,0.2149,0.238,0.0570475,0.0529475,0.056615,-1.30935,-1.2564025,,0.18073823,0.057700467,3,0.5,16829,2,3,1.0010247,957.89399,2550.4085,6488.968,910.67875,2404.9472,6818.3458,298.17195,2855,0.017892731,193,0.0012095612,,,,,,314.19376,8427,3372,0,0,0,0,0,159562,1,0,0,-1.851881,2.3420297,6.6265665,-682784,6480.2081,-676303.79,1.161591,24.084629,300.02039
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,8000,4,0.983388,21.2424,0.2514,0.30752347,-7.175,0.2293,0.2514,0.064335,0.0610325,0.0677425,-1.29832,-1.2372875,,0.19473908,0.061236035,3,0.5,16778,2,3,1.0010227,1026.4563,2654.2697,7505.1447,976.58012,2506.3587,7827.8119,319.72326,3562,0.022323611,289,0.0018112082,,,,,,336.29854,8291,3506,0,0,0,0,0,159562,1,0,0,-1.9136305,2.4818444,6.9587179,-682209.19,6936.1164,-675273.07,0.98338795,21.242367,300.1542
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,9000,4.5,1.30277,24.056,0.2597,0.33506984,-6.2135,0.2505,0.2597,0.0703325,0.0685625,0.071975,-1.298735,-1.2301725,,0.20577005,0.061660303,3,0.5,16749,2,3,1.0003955,1099.9924,2837.2815,8760.4828,1043.6925,2693.4736,7906.207,343.64003,4348,0.027249596,416,0.002607137,,,,,,361.94475,8295,3504,0,0,0,1,0,159561,0.99999373,-1,1,-2.0500376,2.5946176,6.9757426,-681671.91,7465.0664,-674206.85,1.3027683,24.055961,300.23665
