case,step,time_ps,heat_group,depth_lo_nm,depth_hi_nm,atom_count,mean_T_thermal_K,p95_T_thermal_K,max_ke_eV,max_vz_A_ps,zmin_nm,zmax_nm
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,0,0,heat_01,0,1,5701,197.2381,530.38423,0.236237,9.31501,-0.9791,0
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,0,0,heat_02,1,2,5054,169.71058,455.14627,0.155515,9.0171,-1.9292,-1.0819
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,0,0,heat_03,2,3,5334,168.20224,437.9586,0.167963,8.51975,-2.9999,-2.0347
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,0,0,heat_04,3,4,5496,165.17458,426.21243,0.136092,8.66852,-3.9682,-3
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,0,0,heat_05,4,5,5054,160.21277,419.13305,0.194497,9.26849,-4.9182,-4.0716
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,0,0,heat_06,5,6,5738,159.41952,415.77501,0.124944,8.47331,-5.9998,-5.0243
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,0,0,heat_07,6,7,5092,151.95647,400.06509,0.116958,8.51091,-6.958,-6
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,0,0,heat_08,7,8,5054,155.22085,405.26268,0.141646,8.37705,-7.9121,-7.0663
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,0,0,heat_09,8,9,5776,150.11033,397.26427,0.121139,8.45611,-8.9981,-8.0161
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,0,0,heat_10,9,10,5054,146.77733,380.83885,0.134534,8.38146,-9.9491,-9.1021
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,1000,0.5,heat_01,0,1,5471,358.42284,925.93131,0.287178,13.3545,-0.973,0
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,1000,0.5,heat_02,1,2,5054,299.49757,772.56071,0.268385,10.6789,-1.9256,-1.0695
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,1000,0.5,heat_03,2,3,5557,256.17658,675.56334,0.265776,10.8451,-2.9999,-2.0273
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,1000,0.5,heat_04,3,4,5273,233.77152,610.623,0.185253,9.81925,-3.9669,-3
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,1000,0.5,heat_05,4,5,5054,201.86061,526.07197,0.166409,8.40461,-4.9153,-4.0642
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,1000,0.5,heat_06,5,6,5772,171.68525,443.12963,0.205885,9.14146,-5.9996,-5.0193
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,1000,0.5,heat_07,6,7,5058,158.32543,417.32906,0.144006,8.01828,-6.9558,-6.0002
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,1000,0.5,heat_08,7,8,5054,154.39832,396.77429,0.139638,7.75481,-7.9092,-7.0596
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,1000,0.5,heat_09,8,9,5776,153.72257,403.27527,0.127891,8.04295,-8.9933,-8.0099
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,1000,0.5,heat_10,9,10,5054,148.15608,393.34325,0.137411,9.37314,-9.9447,-9.0999
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,2000,1,heat_01,0,1,5177,498.29319,1286.6837,0.454579,13.4055,-0.9758,0
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,2000,1,heat_02,1,2,5054,433.2453,1103.4038,0.544786,13.4389,-1.9266,-1.0606
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,2000,1,heat_03,2,3,5698,365.81758,947.62109,0.325179,11.8176,-2.9999,-2.0156
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat,2000,1,heat_04,3,4,5132,298.78339,771.10232,0.229211,10.5864,-3.9609,-3
