case,step,time_ps,max_atom_ke_eV,max_vz_A_ps,surface_zmax_nm,top1pct_ke_threshold_eV,top1pct_ke_zmin_nm,top1pct_ke_zmax_nm,raw_lift_outlier_sensitive_nm,robust_p95_lift_nm,center_crater_depth_nm,rim_lift_nm,center_surface_z_p95_nm,edge_surface_z_p95_nm,bin_density_mean_check_initial,low_density_area_fraction,void_area_fraction,heated_surface_region_depth_nm,heated_surface_region_above_surface_nm,heated_surface_atom_count,continuous_field_min_atom_count_per_bin,stress_field_min_atom_count_per_bin,neighbor_density_surface_mean,atom_T_raw_mean_K,atom_T_raw_p95_K,atom_T_raw_max_K,atom_T_thermal_mean_K,atom_T_thermal_p95_K,atom_T_thermal_max_K,global_atom_T_thermal_mean_K,molten_atom_count,molten_atom_fraction,vapor_threshold_atom_count,vapor_threshold_atom_fraction,ejecta_T_thermal_mean_K,Te_min_K,Te_mean_K,Te_p95_K,Te_max_K,thermo_Tl_K,upward_atoms,vapor_candidate_count,detached_candidate_count,stable_ejecta_count,cluster_ejecta_count,largest_ejecta_cluster_size,ejected_mass_fraction,bulk_component_size,bulk_component_fraction,bulk_component_delta_count,detached_atom_count,pressure_GPa_p01,pressure_GPa_p99,von_mises_stress_GPa_p99,thermo_pe_eV,thermo_ke_eV,thermo_total_eV,thermo_max_atom_ke_eV,thermo_max_vz_A_ps,thermo_zmax_A
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat_v2,0,0,0.967326,10.5733,0.1553,0.083248956,-28.959637,0.1449,0.1553,-0.0020775,0,-0.0017925,-1.36702,-1.3674075,1,0,0,3,0.5,16361,2,3,1.0004742,191.90299,508.96256,5702.5763,183.33439,487.07316,5312.2395,153.7998,12,7.5205876e-05,2,1.2534313e-05,,,,,,161.06812,8267,3392,0,0,0,0,0,159562,1,0,0,-1.2160889,1.5554937,3.6674198,-685831.41,3322.0102,-682509.4,0.96732639,10.573299,299.1934
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat_v2,1000,0.5,0.666501,12.65,0.1613,0.094751739,-28.95666,0.1558,0.1613,0.0018625,0,0.002435,-1.361095,-1.36125,,0.037477019,0.013293735,3,0.5,16603,2,3,1.0009978,279.6783,740.37336,5156.282,266.91815,708.60828,4515.7525,165.29396,18,0.00011280881,2,1.2534313e-05,,,,,,173.46266,8414,3454,0,0,0,1,0,159561,0.99999373,-1,1,-1.4179743,1.6258511,3.9393719,-685567.88,3577.6462,-681990.24,0.66650053,12.650044,299.25283
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat_v2,2000,1,0.847722,12.0985,0.1743,0.11281273,-28.955067,0.1647,0.1743,0.0113275,0.01843,0.01391,-1.35574,-1.33731,,0.067317211,0.020364871,3,0.5,16754,2,3,1.0012155,375.37025,992.17508,6558.2702,357.86689,931.87283,5772.5911,180.77928,86,0.00053897545,9,5.6404407e-05,,,,,,189.80678,8437,3433,0,0,0,0,0,159562,1,0,0,-1.4858382,1.7052474,4.2894716,-685362.11,3914.7417,-681447.37,0.84772166,12.098515,299.38284
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat_v2,3000,1.5,0.699683,17.162,0.1783,0.13380431,-28.951437,0.1719,0.1783,0.018045,0.0301975,0.01656,-1.34442,-1.3142225,,0.089237732,0.028850233,3,0.5,16851,2,3,1.0005404,447.20438,1180.8255,5412.9894,426.527,1119.2906,5501.8607,194.75877,164,0.0010278136,7,4.3870094e-05,,,,,,204.70583,8445,3436,0,0,0,0,0,159562,1,0,0,-1.5312029,1.7938166,4.7492187,-685102.62,4222.0329,-680880.58,0.6996834,17.162016,299.42296
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat_v2,4000,2,0.57453,15.2786,0.2009,0.1514669,-28.54463,0.184,0.2009,0.0270475,0.062595,0.0222875,-1.33925,-1.276655,,0.12530052,0.039739782,3,0.5,16889,2,3,1.000098,514.03268,1354.4422,4080.6437,490.95374,1283.7814,3440.441,206.34564,327,0.0020493601,2,1.2534313e-05,,,,,,216.71812,8542,3311,0,0,0,0,0,159562,1,0,0,-1.6208068,1.9262526,4.8415005,-684759.48,4469.7847,-680289.7,0.57453042,15.27863,299.64928
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat_v2,5000,2.5,0.792424,18.2319,0.2026,0.17177873,-8.2769,0.1936,0.2026,0.0347775,0.0638025,0.0347475,-1.3333,-1.2694975,,0.14778673,0.051053599,3,0.5,16893,2,3,1.0004387,585.0775,1545.5083,5579.6225,559.06192,1487.5057,5770.2109,221.04302,597,0.0037414923,11,6.893872e-05,,,,,,232.17112,8468,3302,0,0,0,0,0,159562,1,0,0,-1.6565861,1.9126184,5.4190516,-684463.19,4788.5011,-679674.69,0.79242363,18.231934,299.66639
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat_v2,6000,3,0.886131,20.0368,0.209,0.18946578,-19.1545,0.1996,0.209,0.04408,0.0619625,0.04316,-1.32344,-1.2614775,,0.16900014,0.054589167,3,0.5,16906,2,3,1.000383,643.40315,1705.1892,6379.2202,615.09277,1637.9393,5818.8812,236.64232,859,0.0053834873,18,0.00011280881,,,,,,248.77391,8531,3222,0,0,0,0,0,159562,1,0,0,-1.6669731,2.100203,5.6356822,-684166.48,5130.9316,-679035.55,0.88613097,20.036835,299.72955
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat_v2,7000,3.5,0.771594,18.5038,0.2277,0.20797412,-10.847,0.2088,0.2277,0.051,0.064,0.0486575,-1.315045,-1.251045,,0.18526375,0.060953189,3,0.5,16885,2,3,1.0011559,700.16261,1845.9322,5969.3177,669.05274,1764.3052,5144.9232,251.34251,1152,0.0072197641,20,0.00012534313,,,,,,264.20751,8556,3347,0,0,0,0,0,159562,1,0,0,-1.7467078,2.035285,6.0744609,-683821.58,5449.2476,-678372.33,0.77159448,18.503843,299.91675
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat_v2,8000,4,0.890431,21.0732,0.2339,0.22489835,-8.1264,0.2215,0.2339,0.059675,0.0018475,0.0605675,-1.29768,-1.2958325,,0.19954745,0.063215952,3,0.5,16897,2,3,1.0004905,762.94333,2001.2069,5728.7019,725.20213,1892.6401,5712.7142,266.27624,1513,0.0094822075,48,0.0003008235,,,,,,280.39802,8436,3390,0,0,0,0,0,159562,1,0,0,-1.8779281,2.0752541,6.0470029,-683468.37,5783.1749,-677685.2,0.89043121,21.073226,299.97907
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat_v2,9000,4.5,0.870244,18.0709,0.2475,0.23861856,-9.4803,0.2361,0.2475,0.065925,0.0692975,0.0647475,-1.30133,-1.2320325,,0.21001273,0.06830717,3,0.5,16895,2,3,1.0002898,815.16015,2119.0809,6353.7135,775.6656,2016.7144,5376.9038,282.88898,1890,0.011844925,73,0.00045750241,,,,,,297.65579,8441,3328,0,0,0,0,0,159562,1,0,0,-1.8641886,2.2073008,6.1841758,-683113.49,6139.1143,-676974.38,0.87024373,18.07092,300.1155
