case,step,time_ps,heat_group,depth_lo_nm,depth_hi_nm,atom_count,mean_T_thermal_K,p95_T_thermal_K,max_ke_eV,max_vz_A_ps,zmin_nm,zmax_nm
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat_v2,0,0,heat_01,0,1,5701,197.2381,530.38423,0.236237,9.31501,-0.9791,0
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat_v2,0,0,heat_02,1,2,5054,169.71058,455.14627,0.155515,9.0171,-1.9292,-1.0819
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat_v2,0,0,heat_03,2,3,5334,168.20224,437.9586,0.167963,8.51975,-2.9999,-2.0347
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat_v2,0,0,heat_04,3,4,5496,165.17458,426.21243,0.136092,8.66852,-3.9682,-3
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat_v2,0,0,heat_05,4,5,5054,160.21277,419.13305,0.194497,9.26849,-4.9182,-4.0716
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat_v2,0,0,heat_06,5,6,5738,159.41952,415.77501,0.124944,8.47331,-5.9998,-5.0243
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat_v2,0,0,heat_07,6,7,5092,151.95647,400.06509,0.116958,8.51091,-6.958,-6
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat_v2,0,0,heat_08,7,8,5054,155.22085,405.26268,0.141646,8.37705,-7.9121,-7.0663
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat_v2,0,0,heat_09,8,9,5776,150.11033,397.26427,0.121139,8.45611,-8.9981,-8.0161
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat_v2,0,0,heat_10,9,10,5054,146.77733,380.83885,0.134534,8.38146,-9.9491,-9.1021
fluence_0p5_20ps_free_surface_ablation_debug_weaker_heat_v2,1000,0.5,heat_01,0,1,5503,303.89588,784.36362,0.289166,12.3641,-0.972,0
