case,step,time_ps,raw_lift_outlier_sensitive_nm,robust_p95_lift_nm,center_crater_depth_nm,rim_lift_nm,center_surface_z_p95_nm,edge_surface_z_p95_nm,bin_density_mean_check_initial,low_density_area_fraction,void_area_fraction,heated_surface_region_depth_nm,heated_surface_region_above_surface_nm,heated_surface_atom_count,continuous_field_min_atom_count_per_bin,stress_field_min_atom_count_per_bin,neighbor_density_surface_mean,atom_T_raw_mean_K,atom_T_raw_p95_K,atom_T_raw_max_K,atom_T_thermal_mean_K,atom_T_thermal_p95_K,atom_T_thermal_max_K,global_atom_T_thermal_mean_K,molten_atom_count,molten_atom_fraction,vapor_threshold_atom_count,vapor_threshold_atom_fraction,ejecta_T_thermal_mean_K,Te_min_K,Te_mean_K,Te_p95_K,Te_max_K,thermo_Tl_K,upward_atoms,vapor_candidate_count,detached_candidate_count,stable_ejecta_count,cluster_ejecta_count,largest_ejecta_cluster_size,ejected_mass_fraction,bulk_component_size,bulk_component_fraction,bulk_component_delta_count,detached_atom_count,pressure_GPa_p01,pressure_GPa_p99,von_mises_stress_GPa_p99,thermo_pe_eV,thermo_ke_eV,thermo_total_eV
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,0.1553,-0.00206,0.00052,-0.001705,-1.36782,-1.3673,1,0,0,3,0.5,16354,2,3,1.0007141,192.04327,508.00294,5696.6115,183.40941,486.44952,5315.6538,153.79732,11,6.893872e-05,2,1.2534313e-05,,886.68572,1062.166,1212.3416,1277.3486,161.1374,8266,3429,0,0,0,0,0,159562,1,0,0,-1.2293805,1.5540626,3.6845372,-685827.09,3323.4391,-682503.65
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,1000,1,0.1761,0.00908,0.0045025,0.01049,-1.356745,-1.3522425,,0.061827957,0.017119411,3,0.5,16789,2,3,1.0008714,238.15855,649.16262,5849.8763,226.87119,617.36097,5361.2925,202.96325,135,0.00084606611,2,1.2534313e-05,,886.68572,1062.166,1212.3416,1277.3486,213.7984,8549,3428,0,0,0,1,0,159561,0.99999373,-1,1,-1.3622795,1.7912217,4.4461538,-684824.16,4409.5659,-680414.6
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,2000,2,0.1933,0.0233525,0,0.0229775,-1.34064,-1.34178,,0.1270515,0.036926995,3,0.5,16878,2,3,1.0002479,299.09896,871.60646,6554.3556,284.97258,827.91306,6397.7151,264.46888,622,0.0038981712,5,3.1335782e-05,,1268.8363,1387.7028,1496.0197,1548.6666,278.64065,8565,3312,0,0,0,1,0,159561,0.99999373,-1,1,-1.6370896,2.0619893,5.1771829,-683429.16,5746.9293,-677682.23
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,3000,3,0.2015,0.0405725,0.05985,0.0401225,-1.32485,-1.265,,0.18718166,0.056168647,3,0.5,16885,2,3,1.0008518,366.61609,1037.0122,3829.4368,349.30938,987.90317,3908.3267,334.88785,1432,0.0089745679,35,0.00021935047,,1525.9497,1618.4841,1705.3291,1745.763,352.8896,8651,3390,0,0,0,1,0,159561,0.99999373,-1,1,-1.7577934,2.2854428,5.8746953,-681927.45,7278.305,-674649.14
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,4000,4,0.2331,0.063195,0,0.06762,-1.29635,-1.299085,,0.24193548,0.074702886,3,0.5,16868,2,3,1.0014344,434.17316,1203.4284,5026.9767,411.28249,1148.3445,4706.1946,407.08671,2545,0.015949913,89,0.00055777691,,1727.8429,1802.3909,1872.1598,1909.7335,429.04373,8701,3507,0,0,0,1,0,159561,0.99999373,-1,1,-1.8241749,2.4537163,6.2637287,-680287.76,8848.9746,-671438.79
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,5000,5,0.2635,0.0889975,0.0553625,0.0925,-1.268,-1.2126375,,0.2647142,0.078381437,3,0.5,16863,2,3,1.0018683,515.31487,1434.8198,7505.547,488.22671,1356.5809,7548.4839,482.88409,4271,0.026767025,186,0.0011656911,,1892.0801,1955.9521,2015.7437,2043.2246,508.83731,8672,3567,0,0,0,1,0,159561,0.99999373,-1,1,-2.1521219,2.6087468,6.5274034,-678633.72,10494.707,-668139.01
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,6000,6,0.3023,0.109375,0.0110325,0.113365,-1.25592,-1.2448875,,0.27263724,0.085314092,3,0.5,16920,2,3,1.0005567,595.05895,1662.1287,6560.6685,564.72011,1573.4923,5546.9725,558.26972,6385,0.040015793,383,0.0024003209,,2033.2827,2089.4704,2141.3398,2172.8012,587.25749,8427,3611,0,0,0,1,0,159561,0.99999373,-1,1,-2.1647716,2.8413071,6.8867196,-676877.48,12112.114,-664765.37
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,7000,7,0.3002,0.1216,0.069645,0.1240225,-1.246525,-1.17688,,0.26952462,0.085597057,3,0.5,16895,2,3,1.0018549,672.34742,1821.7871,7269.8902,635.50333,1723.0757,7420.0842,633.82216,9105,0.057062458,578,0.0036224164,,2157.4617,2207.4817,2254.4607,2284.2599,667.48236,8643,3749,0,0,0,1,0,159561,0.99999373,-1,1,-2.2330761,3.0828374,7.428525,-675128.27,13766.742,-661361.53
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,8000,8,0.3265,0.144025,0,0.141145,-1.0932,-1.158405,,0.25962083,0.080786644,3,0.5,17207,2,3,1.0022783,745.65697,2028.3615,7737.6606,706.35923,1908.577,8108.2308,708.14628,12135,0.076051942,876,0.005490029,,2268.7636,2314.0351,2357.292,2392.6986,746.05636,8632,3887,0,0,0,1,0,159561,0.99999373,-1,1,-2.4296506,3.1251941,7.8364477,-673312.35,15387.321,-657925.03
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,9000,9,0.3425,0.1575625,0.04813,0.16034,-1.2063,-1.15817,,0.25481041,0.078805886,3,0.5,17422,2,3,1.0033919,823.11029,2211.9596,10541.157,781.58322,2130.6513,11144.316,784.03944,15891,0.099591381,1285,0.0080532959,,2368.7524,2409.0413,2447.9123,2483.1162,826.60644,8623,4009,0,0,0,1,0,159561,0.99999373,-1,1,-2.5875553,3.3576842,8.0909583,-671605.84,17048.657,-654557.19
