case,step,time_ps,x_nm,surface_z_nm
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,-5.05945,-1.376275
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,-4.85945,-1.231275
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,-4.65945,-1.3727
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,-4.45945,-1.36191
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,-4.25945,-1.3674
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,-4.05945,-1.49775
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,-3.85945,-1.36902
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,-3.65945,-1.3672
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,-3.45945,-1.369995
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,-3.25945,-1.239695
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,-3.05945,-1.371145
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,-2.85945,-1.34871
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,-2.65945,-1.36864
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,-2.45945,-1.23618
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,-2.25945,-1.37019
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,-2.05945,-1.36808
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,-1.85945,-1.37184
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,-1.65945,-1.2368
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,-1.45945,-1.36519
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,-1.25945,-1.36782
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,-1.05945,-1.235525
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,-0.85945,-1.37122
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,-0.65945,-1.36623
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,-0.45945,-1.3708
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,-0.25945,-1.23881
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,-0.05945,-1.36895
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,0.14055,-1.107005
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,0.34055,-1.371575
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,0.54055,-1.2447
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,0.74055,-1.37084
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,0.94055,-1.3611
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,0,0,1.14055,-1.37048
