node_id,i,j,r_um,z_um,r_mm,z_mm
1,0,0,0.000000,0.000000,0.0000000000e+00,0.0000000000e+00
2,1,0,0.500000,0.000000,5.0000000000e-04,0.0000000000e+00
3,2,0,1.000000,0.000000,1.0000000000e-03,0.0000000000e+00
4,3,0,1.500000,0.000000,1.5000000000e-03,0.0000000000e+00
5,4,0,2.000000,0.000000,2.0000000000e-03,0.0000000000e+00
6,5,0,2.500000,0.000000,2.5000000000e-03,0.0000000000e+00
7,6,0,3.000000,0.000000,3.0000000000e-03,0.0000000000e+00
8,7,0,3.500000,0.000000,3.5000000000e-03,0.0000000000e+00
9,8,0,4.000000,0.000000,4.0000000000e-03,0.0000000000e+00
10,9,0,4.500000,0.000000,4.5000000000e-03,0.0000000000e+00
11,10,0,5.000000,0.000000,5.0000000000e-03,0.0000000000e+00
12,11,0,5.500000,0.000000,5.5000000000e-03,0.0000000000e+00
13,12,0,6.000000,0.000000,6.0000000000e-03,0.0000000000e+00
14,13,0,6.500000,0.000000,6.5000000000e-03,0.0000000000e+00
15,14,0,7.000000,0.000000,7.0000000000e-03,0.0000000000e+00
16,15,0,7.500000,0.000000,7.5000000000e-03,0.0000000000e+00
17,16,0,8.000000,0.000000,8.0000000000e-03,0.0000000000e+00
18,17,0,8.500000,0.000000,8.5000000000e-03,0.0000000000e+00
19,18,0,9.000000,0.000000,9.0000000000e-03,0.0000000000e+00
20,19,0,9.500000,0.000000,9.5000000000e-03,0.0000000000e+00
21,20,0,10.000000,0.000000,1.0000000000e-02,0.0000000000e+00
22,21,0,11.000000,0.000000,1.1000000000e-02,0.0000000000e+00
23,22,0,12.000000,0.000000,1.2000000000e-02,0.0000000000e+00
24,23,0,13.000000,0.000000,1.3000000000e-02,0.0000000000e+00
25,24,0,14.000000,0.000000,1.4000000000e-02,0.0000000000e+00
26,25,0,15.000000,0.000000,1.5000000000e-02,0.0000000000e+00
27,26,0,16.000000,0.000000,1.6000000000e-02,0.0000000000e+00
28,27,0,17.000000,0.000000,1.7000000000e-02,0.0000000000e+00
29,28,0,18.000000,0.000000,1.8000000000e-02,0.0000000000e+00
30,29,0,19.000000,0.000000,1.9000000000e-02,0.0000000000e+00
31,30,0,20.000000,0.000000,2.0000000000e-02,0.0000000000e+00
32,31,0,21.000000,0.000000,2.1000000000e-02,0.0000000000e+00
33,32,0,22.000000,0.000000,2.2000000000e-02,0.0000000000e+00
34,33,0,23.000000,0.000000,2.3000000000e-02,0.0000000000e+00
35,34,0,24.000000,0.000000,2.4000000000e-02,0.0000000000e+00
36,35,0,25.000000,0.000000,2.5000000000e-02,0.0000000000e+00
37,36,0,26.000000,0.000000,2.6000000000e-02,0.0000000000e+00
38,37,0,27.000000,0.000000,2.7000000000e-02,0.0000000000e+00
39,38,0,28.000000,0.000000,2.8000000000e-02,0.0000000000e+00
40,39,0,29.000000,0.000000,2.9000000000e-02,0.0000000000e+00
41,40,0,30.000000,0.000000,3.0000000000e-02,0.0000000000e+00
42,41,0,31.000000,0.000000,3.1000000000e-02,0.0000000000e+00
43,42,0,32.000000,0.000000,3.2000000000e-02,0.0000000000e+00
44,43,0,33.000000,0.000000,3.3000000000e-02,0.0000000000e+00
45,44,0,34.000000,0.000000,3.4000000000e-02,0.0000000000e+00
46,45,0,35.000000,0.000000,3.5000000000e-02,0.0000000000e+00
47,46,0,36.000000,0.000000,3.6000000000e-02,0.0000000000e+00
48,47,0,37.000000,0.000000,3.7000000000e-02,0.0000000000e+00
49,48,0,38.000000,0.000000,3.8000000000e-02,0.0000000000e+00
50,49,0,39.000000,0.000000,3.9000000000e-02,0.0000000000e+00
51,50,0,40.000000,0.000000,4.0000000000e-02,0.0000000000e+00
52,51,0,41.000000,0.000000,4.1000000000e-02,0.0000000000e+00
53,52,0,42.000000,0.000000,4.2000000000e-02,0.0000000000e+00
54,53,0,43.000000,0.000000,4.3000000000e-02,0.0000000000e+00
55,54,0,44.000000,0.000000,4.4000000000e-02,0.0000000000e+00
56,55,0,45.000000,0.000000,4.5000000000e-02,0.0000000000e+00
57,56,0,46.000000,0.000000,4.6000000000e-02,0.0000000000e+00
58,57,0,47.000000,0.000000,4.7000000000e-02,0.0000000000e+00
59,58,0,48.000000,0.000000,4.8000000000e-02,0.0000000000e+00
60,59,0,49.000000,0.000000,4.9000000000e-02,0.0000000000e+00
61,60,0,50.000000,0.000000,5.0000000000e-02,0.0000000000e+00
62,61,0,52.500000,0.000000,5.2500000000e-02,0.0000000000e+00
63,62,0,55.000000,0.000000,5.5000000000e-02,0.0000000000e+00
64,63,0,57.500000,0.000000,5.7500000000e-02,0.0000000000e+00
65,64,0,60.000000,0.000000,6.0000000000e-02,0.0000000000e+00
66,65,0,62.500000,0.000000,6.2500000000e-02,0.0000000000e+00
67,66,0,65.000000,0.000000,6.5000000000e-02,0.0000000000e+00
68,67,0,67.500000,0.000000,6.7500000000e-02,0.0000000000e+00
69,68,0,70.000000,0.000000,7.0000000000e-02,0.0000000000e+00
70,69,0,72.500000,0.000000,7.2500000000e-02,0.0000000000e+00
71,70,0,75.000000,0.000000,7.5000000000e-02,0.0000000000e+00
72,71,0,77.500000,0.000000,7.7500000000e-02,0.0000000000e+00
73,72,0,80.000000,0.000000,8.0000000000e-02,0.0000000000e+00
74,73,0,82.500000,0.000000,8.2500000000e-02,0.0000000000e+00
75,74,0,85.000000,0.000000,8.5000000000e-02,0.0000000000e+00
76,75,0,87.500000,0.000000,8.7500000000e-02,0.0000000000e+00
77,76,0,90.000000,0.000000,9.0000000000e-02,0.0000000000e+00
78,77,0,92.500000,0.000000,9.2500000000e-02,0.0000000000e+00
79,78,0,95.000000,0.000000,9.5000000000e-02,0.0000000000e+00
80,79,0,97.500000,0.000000,9.7500000000e-02,0.0000000000e+00
81,80,0,100.000000,0.000000,1.0000000000e-01,0.0000000000e+00
82,0,1,0.000000,0.199833,0.0000000000e+00,1.9983300000e-04
83,1,1,0.500000,0.199833,5.0000000000e-04,1.9983300000e-04
84,2,1,1.000000,0.199833,1.0000000000e-03,1.9983300000e-04
85,3,1,1.500000,0.199833,1.5000000000e-03,1.9983300000e-04
86,4,1,2.000000,0.199833,2.0000000000e-03,1.9983300000e-04
87,5,1,2.500000,0.199833,2.5000000000e-03,1.9983300000e-04
88,6,1,3.000000,0.199833,3.0000000000e-03,1.9983300000e-04
89,7,1,3.500000,0.199833,3.5000000000e-03,1.9983300000e-04
90,8,1,4.000000,0.199833,4.0000000000e-03,1.9983300000e-04
91,9,1,4.500000,0.199833,4.5000000000e-03,1.9983300000e-04
92,10,1,5.000000,0.199833,5.0000000000e-03,1.9983300000e-04
93,11,1,5.500000,0.199833,5.5000000000e-03,1.9983300000e-04
94,12,1,6.000000,0.199833,6.0000000000e-03,1.9983300000e-04
95,13,1,6.500000,0.199833,6.5000000000e-03,1.9983300000e-04
96,14,1,7.000000,0.199833,7.0000000000e-03,1.9983300000e-04
97,15,1,7.500000,0.199833,7.5000000000e-03,1.9983300000e-04
98,16,1,8.000000,0.199833,8.0000000000e-03,1.9983300000e-04
99,17,1,8.500000,0.199833,8.5000000000e-03,1.9983300000e-04
100,18,1,9.000000,0.199833,9.0000000000e-03,1.9983300000e-04
101,19,1,9.500000,0.199833,9.5000000000e-03,1.9983300000e-04
102,20,1,10.000000,0.199833,1.0000000000e-02,1.9983300000e-04
103,21,1,11.000000,0.199833,1.1000000000e-02,1.9983300000e-04
104,22,1,12.000000,0.199833,1.2000000000e-02,1.9983300000e-04
105,23,1,13.000000,0.199833,1.3000000000e-02,1.9983300000e-04
106,24,1,14.000000,0.199833,1.4000000000e-02,1.9983300000e-04
107,25,1,15.000000,0.199833,1.5000000000e-02,1.9983300000e-04
108,26,1,16.000000,0.199833,1.6000000000e-02,1.9983300000e-04
109,27,1,17.000000,0.199833,1.7000000000e-02,1.9983300000e-04
110,28,1,18.000000,0.199833,1.8000000000e-02,1.9983300000e-04
111,29,1,19.000000,0.199833,1.9000000000e-02,1.9983300000e-04
112,30,1,20.000000,0.199833,2.0000000000e-02,1.9983300000e-04
113,31,1,21.000000,0.199833,2.1000000000e-02,1.9983300000e-04
114,32,1,22.000000,0.199833,2.2000000000e-02,1.9983300000e-04
115,33,1,23.000000,0.199833,2.3000000000e-02,1.9983300000e-04
116,34,1,24.000000,0.199833,2.4000000000e-02,1.9983300000e-04
117,35,1,25.000000,0.199833,2.5000000000e-02,1.9983300000e-04
118,36,1,26.000000,0.199833,2.6000000000e-02,1.9983300000e-04
119,37,1,27.000000,0.199833,2.7000000000e-02,1.9983300000e-04
120,38,1,28.000000,0.199833,2.8000000000e-02,1.9983300000e-04
121,39,1,29.000000,0.199833,2.9000000000e-02,1.9983300000e-04
122,40,1,30.000000,0.199833,3.0000000000e-02,1.9983300000e-04
123,41,1,31.000000,0.199833,3.1000000000e-02,1.9983300000e-04
124,42,1,32.000000,0.199833,3.2000000000e-02,1.9983300000e-04
125,43,1,33.000000,0.199833,3.3000000000e-02,1.9983300000e-04
126,44,1,34.000000,0.199833,3.4000000000e-02,1.9983300000e-04
127,45,1,35.000000,0.199833,3.5000000000e-02,1.9983300000e-04
128,46,1,36.000000,0.199833,3.6000000000e-02,1.9983300000e-04
129,47,1,37.000000,0.199833,3.7000000000e-02,1.9983300000e-04
130,48,1,38.000000,0.199833,3.8000000000e-02,1.9983300000e-04
131,49,1,39.000000,0.199833,3.9000000000e-02,1.9983300000e-04
132,50,1,40.000000,0.199833,4.0000000000e-02,1.9983300000e-04
133,51,1,41.000000,0.199833,4.1000000000e-02,1.9983300000e-04
134,52,1,42.000000,0.199833,4.2000000000e-02,1.9983300000e-04
135,53,1,43.000000,0.199833,4.3000000000e-02,1.9983300000e-04
136,54,1,44.000000,0.199833,4.4000000000e-02,1.9983300000e-04
137,55,1,45.000000,0.199833,4.5000000000e-02,1.9983300000e-04
138,56,1,46.000000,0.199833,4.6000000000e-02,1.9983300000e-04
139,57,1,47.000000,0.199833,4.7000000000e-02,1.9983300000e-04
140,58,1,48.000000,0.199833,4.8000000000e-02,1.9983300000e-04
141,59,1,49.000000,0.199833,4.9000000000e-02,1.9983300000e-04
142,60,1,50.000000,0.199833,5.0000000000e-02,1.9983300000e-04
143,61,1,52.500000,0.199833,5.2500000000e-02,1.9983300000e-04
144,62,1,55.000000,0.199833,5.5000000000e-02,1.9983300000e-04
145,63,1,57.500000,0.199833,5.7500000000e-02,1.9983300000e-04
146,64,1,60.000000,0.199833,6.0000000000e-02,1.9983300000e-04
147,65,1,62.500000,0.199833,6.2500000000e-02,1.9983300000e-04
148,66,1,65.000000,0.199833,6.5000000000e-02,1.9983300000e-04
149,67,1,67.500000,0.199833,6.7500000000e-02,1.9983300000e-04
150,68,1,70.000000,0.199833,7.0000000000e-02,1.9983300000e-04
151,69,1,72.500000,0.199833,7.2500000000e-02,1.9983300000e-04
152,70,1,75.000000,0.199833,7.5000000000e-02,1.9983300000e-04
153,71,1,77.500000,0.199833,7.7500000000e-02,1.9983300000e-04
154,72,1,80.000000,0.199833,8.0000000000e-02,1.9983300000e-04
155,73,1,82.500000,0.199833,8.2500000000e-02,1.9983300000e-04
156,74,1,85.000000,0.199833,8.5000000000e-02,1.9983300000e-04
157,75,1,87.500000,0.199833,8.7500000000e-02,1.9983300000e-04
158,76,1,90.000000,0.199833,9.0000000000e-02,1.9983300000e-04
159,77,1,92.500000,0.199833,9.2500000000e-02,1.9983300000e-04
160,78,1,95.000000,0.199833,9.5000000000e-02,1.9983300000e-04
161,79,1,97.500000,0.199833,9.7500000000e-02,1.9983300000e-04
162,80,1,100.000000,0.199833,1.0000000000e-01,1.9983300000e-04
163,0,2,0.000000,0.665072,0.0000000000e+00,6.6507200000e-04
164,1,2,0.500000,0.665072,5.0000000000e-04,6.6507200000e-04
165,2,2,1.000000,0.665072,1.0000000000e-03,6.6507200000e-04
166,3,2,1.500000,0.665072,1.5000000000e-03,6.6507200000e-04
167,4,2,2.000000,0.665072,2.0000000000e-03,6.6507200000e-04
168,5,2,2.500000,0.665072,2.5000000000e-03,6.6507200000e-04
169,6,2,3.000000,0.665072,3.0000000000e-03,6.6507200000e-04
170,7,2,3.500000,0.665072,3.5000000000e-03,6.6507200000e-04
171,8,2,4.000000,0.665072,4.0000000000e-03,6.6507200000e-04
