case,element_id,i,j,r_center_um,z_center_um,reason
ep_3p1uj,6961,0,87,0.250000,4.955000,pre-deleted vapor-zone element
ep_3p1uj,6962,1,87,0.750000,4.955000,pre-deleted vapor-zone element
ep_3p1uj,6963,2,87,1.250000,4.955000,pre-deleted vapor-zone element
ep_3p1uj,6964,3,87,1.750000,4.955000,pre-deleted vapor-zone element
ep_3p1uj,6965,4,87,2.250000,4.955000,pre-deleted vapor-zone element
ep_3p1uj,6966,5,87,2.750000,4.955000,pre-deleted vapor-zone element
ep_3p1uj,7041,0,88,0.250000,4.965000,pre-deleted vapor-zone element
ep_3p1uj,7042,1,88,0.750000,4.965000,pre-deleted vapor-zone element
ep_3p1uj,7043,2,88,1.250000,4.965000,pre-deleted vapor-zone element
ep_3p1uj,7044,3,88,1.750000,4.965000,pre-deleted vapor-zone element
ep_3p1uj,7045,4,88,2.250000,4.965000,pre-deleted vapor-zone element
ep_3p1uj,7046,5,88,2.750000,4.965000,pre-deleted vapor-zone element
ep_3p1uj,7121,0,89,0.250000,4.975000,pre-deleted vapor-zone element
ep_3p1uj,7122,1,89,0.750000,4.975000,pre-deleted vapor-zone element
ep_3p1uj,7123,2,89,1.250000,4.975000,pre-deleted vapor-zone element
ep_3p1uj,7124,3,89,1.750000,4.975000,pre-deleted vapor-zone element
ep_3p1uj,7125,4,89,2.250000,4.975000,pre-deleted vapor-zone element
ep_3p1uj,7126,5,89,2.750000,4.975000,pre-deleted vapor-zone element
ep_3p1uj,7201,0,90,0.250000,4.985000,pre-deleted vapor-zone element
ep_3p1uj,7202,1,90,0.750000,4.985000,pre-deleted vapor-zone element
ep_3p1uj,7203,2,90,1.250000,4.985000,pre-deleted vapor-zone element
ep_3p1uj,7204,3,90,1.750000,4.985000,pre-deleted vapor-zone element
ep_3p1uj,7205,4,90,2.250000,4.985000,pre-deleted vapor-zone element
ep_3p1uj,7206,5,90,2.750000,4.985000,pre-deleted vapor-zone element
ep_3p1uj,7281,0,91,0.250000,4.995000,pre-deleted vapor-zone element
ep_3p1uj,7282,1,91,0.750000,4.995000,pre-deleted vapor-zone element
ep_3p1uj,7283,2,91,1.250000,4.995000,pre-deleted vapor-zone element
ep_3p1uj,7284,3,91,1.750000,4.995000,pre-deleted vapor-zone element
ep_3p1uj,7285,4,91,2.250000,4.995000,pre-deleted vapor-zone element
ep_3p1uj,7286,5,91,2.750000,4.995000,pre-deleted vapor-zone element
ep_4p0uj,6961,0,87,0.250000,4.955000,pre-deleted vapor-zone element
ep_4p0uj,6962,1,87,0.750000,4.955000,pre-deleted vapor-zone element
ep_4p0uj,6963,2,87,1.250000,4.955000,pre-deleted vapor-zone element
ep_4p0uj,6964,3,87,1.750000,4.955000,pre-deleted vapor-zone element
ep_4p0uj,6965,4,87,2.250000,4.955000,pre-deleted vapor-zone element
ep_4p0uj,6966,5,87,2.750000,4.955000,pre-deleted vapor-zone element
ep_4p0uj,6967,6,87,3.250000,4.955000,pre-deleted vapor-zone element
ep_4p0uj,6968,7,87,3.750000,4.955000,pre-deleted vapor-zone element
ep_4p0uj,6969,8,87,4.250000,4.955000,pre-deleted vapor-zone element
ep_4p0uj,6970,9,87,4.750000,4.955000,pre-deleted vapor-zone element
ep_4p0uj,6971,10,87,5.250000,4.955000,pre-deleted vapor-zone element
ep_4p0uj,6972,11,87,5.750000,4.955000,pre-deleted vapor-zone element
ep_4p0uj,6973,12,87,6.250000,4.955000,pre-deleted vapor-zone element
ep_4p0uj,6974,13,87,6.750000,4.955000,pre-deleted vapor-zone element
ep_4p0uj,6975,14,87,7.250000,4.955000,pre-deleted vapor-zone element
ep_4p0uj,6976,15,87,7.750000,4.955000,pre-deleted vapor-zone element
ep_4p0uj,6977,16,87,8.250000,4.955000,pre-deleted vapor-zone element
ep_4p0uj,6978,17,87,8.750000,4.955000,pre-deleted vapor-zone element
ep_4p0uj,6979,18,87,9.250000,4.955000,pre-deleted vapor-zone element
ep_4p0uj,6980,19,87,9.750000,4.955000,pre-deleted vapor-zone element
ep_4p0uj,6981,20,87,10.500000,4.955000,pre-deleted vapor-zone element
ep_4p0uj,6982,21,87,11.500000,4.955000,pre-deleted vapor-zone element
ep_4p0uj,6983,22,87,12.500000,4.955000,pre-deleted vapor-zone element
ep_4p0uj,7041,0,88,0.250000,4.965000,pre-deleted vapor-zone element
ep_4p0uj,7042,1,88,0.750000,4.965000,pre-deleted vapor-zone element
ep_4p0uj,7043,2,88,1.250000,4.965000,pre-deleted vapor-zone element
ep_4p0uj,7044,3,88,1.750000,4.965000,pre-deleted vapor-zone element
ep_4p0uj,7045,4,88,2.250000,4.965000,pre-deleted vapor-zone element
ep_4p0uj,7046,5,88,2.750000,4.965000,pre-deleted vapor-zone element
ep_4p0uj,7047,6,88,3.250000,4.965000,pre-deleted vapor-zone element
ep_4p0uj,7048,7,88,3.750000,4.965000,pre-deleted vapor-zone element
ep_4p0uj,7049,8,88,4.250000,4.965000,pre-deleted vapor-zone element
ep_4p0uj,7050,9,88,4.750000,4.965000,pre-deleted vapor-zone element
ep_4p0uj,7051,10,88,5.250000,4.965000,pre-deleted vapor-zone element
