case,element_id,i,j,r_center_um,z_center_um,reason
ep_5p0uj_recoil_100ms,6961,0,87,0.250000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,6962,1,87,0.750000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,6963,2,87,1.250000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,6964,3,87,1.750000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,6965,4,87,2.250000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,6966,5,87,2.750000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,6967,6,87,3.250000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,6968,7,87,3.750000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,6969,8,87,4.250000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,6970,9,87,4.750000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,6971,10,87,5.250000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,6972,11,87,5.750000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,6973,12,87,6.250000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,6974,13,87,6.750000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,6975,14,87,7.250000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,6976,15,87,7.750000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,6977,16,87,8.250000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,6978,17,87,8.750000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,6979,18,87,9.250000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,6980,19,87,9.750000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,6981,20,87,10.500000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,6982,21,87,11.500000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,6983,22,87,12.500000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,6984,23,87,13.500000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,6985,24,87,14.500000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,6986,25,87,15.500000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,6987,26,87,16.500000,4.955000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7041,0,88,0.250000,4.965000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7042,1,88,0.750000,4.965000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7043,2,88,1.250000,4.965000,pre-deleted vapor-zone element
ep_5p0uj_recoil_100ms,7044,3,88,1.750000,4.965000,pre-deleted vapor-zone element
