case,marker_id,element_id,center_r_um,center_height_above_surface_um,vx_m_s,vy_m_s,layer_id
ep_5p0uj_ejecta_8500ms,1,7361,0.000000,0.205000,0.000000,8500.000000,0
ep_5p0uj_ejecta_8500ms,2,7362,0.600000,0.205000,58.924236,8467.426019,0
ep_5p0uj_ejecta_8500ms,3,7363,1.200000,0.205000,116.498789,8370.451150,0
ep_5p0uj_ejecta_8500ms,4,7364,1.800000,0.205000,171.425370,8211.288135,0
ep_5p0uj_ejecta_8500ms,5,7365,2.400000,0.205000,222.505744,7993.531444,0
ep_5p0uj_ejecta_8500ms,6,7366,3.000000,0.205000,268.685114,7722.022341,0
ep_5p0uj_ejecta_8500ms,7,7367,3.600000,0.205000,309.088031,7402.670009,0
ep_5p0uj_ejecta_8500ms,8,7368,4.200000,0.205000,343.045151,7042.237972,0
ep_5p0uj_ejecta_8500ms,9,7369,4.800000,0.205000,370.109735,6648.106584,0
ep_5p0uj_ejecta_8500ms,10,7370,5.400000,0.205000,390.063468,6228.023185,0
ep_5p0uj_ejecta_8500ms,11,7371,6.000000,0.205000,402.911799,5789.851674,0
ep_5p0uj_ejecta_8500ms,12,7372,6.600000,0.205000,408.869635,5341.332644,0
ep_5p0uj_ejecta_8500ms,13,7373,7.200000,0.205000,408.338733,4889.864033,0
ep_5p0uj_ejecta_8500ms,14,7374,7.800000,0.205000,401.878536,4442.310507,0
ep_5p0uj_ejecta_8500ms,15,7375,8.400000,0.205000,390.172443,4004.847744,0
ep_5p0uj_ejecta_8500ms,16,7376,9.000000,0.205000,373.991632,3582.845479,0
ep_5p0uj_ejecta_8500ms,17,7377,9.600000,0.205000,354.158482,3180.790877,0
ep_5p0uj_ejecta_8500ms,18,7378,10.200000,0.205000,331.511498,2802.251602,0
ep_5p0uj_ejecta_8500ms,19,7379,10.800000,0.205000,306.873339,2449.876012,0
ep_5p0uj_ejecta_8500ms,20,7380,11.400000,0.205000,281.023219,2125.426323,0
ep_5p0uj_ejecta_8500ms,21,7381,12.000000,0.205000,254.674533,1829.839401,0
ep_5p0uj_ejecta_8500ms,22,7382,12.600000,0.205000,228.458177,1563.309132,0
ep_5p0uj_ejecta_8500ms,23,7383,13.200000,0.205000,202.911637,1325.384005,0
ep_5p0uj_ejecta_8500ms,24,7384,13.800000,0.205000,178.473582,1115.073656,0
ep_5p0uj_ejecta_8500ms,25,7385,14.400000,0.205000,155.483442,930.958574,0
ep_5p0uj_ejecta_8500ms,26,7386,15.000000,0.205000,134.185220,771.297862,0
ep_5p0uj_ejecta_8500ms,27,7387,15.600000,0.205000,114.734695,634.130831,0
ep_5p0uj_ejecta_8500ms,28,7388,16.200000,0.205000,97.209093,517.369211,0
ep_5p0uj_ejecta_8500ms,29,7389,16.800000,0.205000,81.618356,418.877721,0
ep_5p0uj_ejecta_8500ms,30,7390,17.400000,0.205000,67.917151,336.541723,0
ep_5p0uj_ejecta_8500ms,31,7391,18.000000,0.205000,56.016935,268.321539,0
ep_5p0uj_ejecta_8500ms,32,7392,0.000000,0.455000,0.000000,9350.000000,1
ep_5p0uj_ejecta_8500ms,33,7393,0.600000,0.455000,58.924236,9314.168621,1
ep_5p0uj_ejecta_8500ms,34,7394,1.200000,0.455000,116.498789,9207.496265,1
ep_5p0uj_ejecta_8500ms,35,7395,1.800000,0.455000,171.425370,9032.416948,1
ep_5p0uj_ejecta_8500ms,36,7396,2.400000,0.455000,222.505744,8792.884588,1
ep_5p0uj_ejecta_8500ms,37,7397,3.000000,0.455000,268.685114,8494.224575,1
ep_5p0uj_ejecta_8500ms,38,7398,3.600000,0.455000,309.088031,8142.937010,1
ep_5p0uj_ejecta_8500ms,39,7399,4.200000,0.455000,343.045151,7746.461769,1
ep_5p0uj_ejecta_8500ms,40,7400,4.800000,0.455000,370.109735,7312.917243,1
ep_5p0uj_ejecta_8500ms,41,7401,5.400000,0.455000,390.063468,6850.825503,1
ep_5p0uj_ejecta_8500ms,42,7402,6.000000,0.455000,402.911799,6368.836841,1
ep_5p0uj_ejecta_8500ms,43,7403,6.600000,0.455000,408.869635,5875.465909,1
ep_5p0uj_ejecta_8500ms,44,7404,7.200000,0.455000,408.338733,5378.850436,1
ep_5p0uj_ejecta_8500ms,45,7405,7.800000,0.455000,401.878536,4886.541557,1
ep_5p0uj_ejecta_8500ms,46,7406,8.400000,0.455000,390.172443,4405.332518,1
ep_5p0uj_ejecta_8500ms,47,7407,9.000000,0.455000,373.991632,3941.130027,1
ep_5p0uj_ejecta_8500ms,48,7408,9.600000,0.455000,354.158482,3498.869964,1
ep_5p0uj_ejecta_8500ms,49,7409,10.200000,0.455000,331.511498,3082.476762,1
ep_5p0uj_ejecta_8500ms,50,7410,10.800000,0.455000,306.873339,2694.863614,1
ep_5p0uj_ejecta_8500ms,51,7411,11.400000,0.455000,281.023219,2337.968955,1
ep_5p0uj_ejecta_8500ms,52,7412,12.000000,0.455000,254.674533,2012.823341,1
ep_5p0uj_ejecta_8500ms,53,7413,12.600000,0.455000,228.458177,1719.640045,1
ep_5p0uj_ejecta_8500ms,54,7414,13.200000,0.455000,202.911637,1457.922405,1
ep_5p0uj_ejecta_8500ms,55,7415,13.800000,0.455000,178.473582,1226.581021,1
ep_5p0uj_ejecta_8500ms,56,7416,14.400000,0.455000,155.483442,1024.054432,1
ep_5p0uj_ejecta_8500ms,57,7417,15.000000,0.455000,134.185220,848.427648,1
ep_5p0uj_ejecta_8500ms,58,7418,15.600000,0.455000,114.734695,697.543914,1
ep_5p0uj_ejecta_8500ms,59,7419,16.200000,0.455000,97.209093,569.106132,1
ep_5p0uj_ejecta_8500ms,60,7420,16.800000,0.455000,81.618356,460.765493,1
ep_5p0uj_ejecta_8500ms,61,7421,17.400000,0.455000,67.917151,370.195895,1
ep_5p0uj_ejecta_8500ms,62,7422,18.000000,0.455000,56.016935,295.153693,1
ep_5p0uj_ejecta_8500ms,63,7423,0.000000,0.705000,0.000000,10200.000000,2
ep_5p0uj_ejecta_8500ms,64,7424,0.600000,0.705000,58.924236,10160.911223,2
ep_5p0uj_ejecta_8500ms,65,7425,1.200000,0.705000,116.498789,10044.541380,2
ep_5p0uj_ejecta_8500ms,66,7426,1.800000,0.705000,171.425370,9853.545762,2
ep_5p0uj_ejecta_8500ms,67,7427,2.400000,0.705000,222.505744,9592.237733,2
ep_5p0uj_ejecta_8500ms,68,7428,3.000000,0.705000,268.685114,9266.426809,2
ep_5p0uj_ejecta_8500ms,69,7429,3.600000,0.705000,309.088031,8883.204010,2
ep_5p0uj_ejecta_8500ms,70,7430,4.200000,0.705000,343.045151,8450.685567,2
ep_5p0uj_ejecta_8500ms,71,7431,4.800000,0.705000,370.109735,7977.727901,2
ep_5p0uj_ejecta_8500ms,72,7432,5.400000,0.705000,390.063468,7473.627822,2
ep_5p0uj_ejecta_8500ms,73,7433,6.000000,0.705000,402.911799,6947.822008,2
ep_5p0uj_ejecta_8500ms,74,7434,6.600000,0.705000,408.869635,6409.599173,2
ep_5p0uj_ejecta_8500ms,75,7435,7.200000,0.705000,408.338733,5867.836840,2
ep_5p0uj_ejecta_8500ms,76,7436,7.800000,0.705000,401.878536,5330.772608,2
ep_5p0uj_ejecta_8500ms,77,7437,8.400000,0.705000,390.172443,4805.817292,2
ep_5p0uj_ejecta_8500ms,78,7438,9.000000,0.705000,373.991632,4299.414574,2
ep_5p0uj_ejecta_8500ms,79,7439,9.600000,0.705000,354.158482,3816.949052,2
ep_5p0uj_ejecta_8500ms,80,7440,10.200000,0.705000,331.511498,3362.701922,2
ep_5p0uj_ejecta_8500ms,81,7441,10.800000,0.705000,306.873339,2939.851215,2
ep_5p0uj_ejecta_8500ms,82,7442,11.400000,0.705000,281.023219,2550.511588,2
ep_5p0uj_ejecta_8500ms,83,7443,12.000000,0.705000,254.674533,2195.807281,2
ep_5p0uj_ejecta_8500ms,84,7444,12.600000,0.705000,228.458177,1875.970958,2
ep_5p0uj_ejecta_8500ms,85,7445,13.200000,0.705000,202.911637,1590.460805,2
ep_5p0uj_ejecta_8500ms,86,7446,13.800000,0.705000,178.473582,1338.088387,2
ep_5p0uj_ejecta_8500ms,87,7447,14.400000,0.705000,155.483442,1117.150289,2
ep_5p0uj_ejecta_8500ms,88,7448,15.000000,0.705000,134.185220,925.557434,2
ep_5p0uj_ejecta_8500ms,89,7449,15.600000,0.705000,114.734695,760.956997,2
ep_5p0uj_ejecta_8500ms,90,7450,16.200000,0.705000,97.209093,620.843053,2
ep_5p0uj_ejecta_8500ms,91,7451,16.800000,0.705000,81.618356,502.653265,2
ep_5p0uj_ejecta_8500ms,92,7452,17.400000,0.705000,67.917151,403.850067,2
ep_5p0uj_ejecta_8500ms,93,7453,18.000000,0.705000,56.016935,321.985847,2
ep_5p0uj_ejecta_8500ms,94,7454,0.000000,0.955000,0.000000,11050.000000,3
ep_5p0uj_ejecta_8500ms,95,7455,0.600000,0.955000,58.924236,11007.653824,3
ep_5p0uj_ejecta_8500ms,96,7456,1.200000,0.955000,116.498789,10881.586495,3
ep_5p0uj_ejecta_8500ms,97,7457,1.800000,0.955000,171.425370,10674.674575,3
ep_5p0uj_ejecta_8500ms,98,7458,2.400000,0.955000,222.505744,10391.590877,3
ep_5p0uj_ejecta_8500ms,99,7459,3.000000,0.955000,268.685114,10038.629043,3
ep_5p0uj_ejecta_8500ms,100,7460,3.600000,0.955000,309.088031,9623.471011,3
ep_5p0uj_ejecta_8500ms,101,7461,4.200000,0.955000,343.045151,9154.909364,3
