# UNITS: metal COMMENT: V6A initial electron temperature grid
# ix iy iz Te_K
1 1 1 300.000000
1 1 2 300.000000
1 1 3 300.000000
1 1 4 300.000000
1 1 5 300.000000
1 1 6 300.000000
1 1 7 300.000000
1 1 8 300.000000
1 1 9 300.000000
1 1 10 300.000000
1 1 11 300.000000
1 1 12 300.000000
1 1 13 300.000000
1 1 14 300.000000
1 1 15 300.000000
1 1 16 300.000000
1 1 17 300.000000
1 1 18 300.000000
1 1 19 300.000000
1 1 20 300.000000
1 1 21 300.000000
1 1 22 300.000000
1 1 23 300.000000
1 1 24 300.000000
1 1 25 300.000000
1 1 26 300.000000
1 1 27 300.000000
1 1 28 300.000000
1 2 1 300.000000
1 2 2 300.000000
1 2 3 300.000000
1 2 4 300.000000
1 2 5 300.000000
1 2 6 300.000000
1 2 7 300.000000
1 2 8 300.000000
1 2 9 300.000000
1 2 10 300.000000
1 2 11 300.000000
1 2 12 300.000000
1 2 13 300.000000
1 2 14 300.000000
1 2 15 300.000000
1 2 16 300.000000
1 2 17 300.000000
1 2 18 300.000000
1 2 19 300.000000
1 2 20 300.000000
1 2 21 300.000000
1 2 22 300.000000
1 2 23 300.000000
1 2 24 300.000000
1 2 25 300.000000
1 2 26 300.000000
1 2 27 300.000000
1 2 28 300.000000
1 3 1 300.000000
1 3 2 300.000000
1 3 3 300.000000
1 3 4 300.000000
1 3 5 300.000000
1 3 6 300.000000
1 3 7 300.000000
1 3 8 300.000000
1 3 9 300.000000
1 3 10 300.000000
1 3 11 300.000000
1 3 12 300.000000
1 3 13 300.000000
1 3 14 300.000000
1 3 15 300.000000
1 3 16 300.000000
1 3 17 300.000000
1 3 18 300.000000
1 3 19 300.000000
1 3 20 300.000000
1 3 21 300.000000
1 3 22 300.000000
1 3 23 300.000000
1 3 24 300.000000
1 3 25 300.000000
1 3 26 300.000000
1 3 27 300.000000
1 3 28 300.000000
1 4 1 300.000000
1 4 2 300.000000
1 4 3 300.000000
1 4 4 300.000000
1 4 5 300.000000
1 4 6 300.000000
1 4 7 300.000000
1 4 8 300.000000
1 4 9 300.000000
1 4 10 300.000000
1 4 11 300.000000
1 4 12 300.000000
1 4 13 300.000000
1 4 14 300.000000
1 4 15 300.000000
1 4 16 300.000000
1 4 17 300.000000
1 4 18 300.000000
1 4 19 300.000000
1 4 20 300.000000
1 4 21 300.000000
1 4 22 300.000000
1 4 23 300.000000
1 4 24 300.000000
1 4 25 300.000000
1 4 26 300.000000
1 4 27 300.000000
1 4 28 300.000000
2 1 1 300.000000
2 1 2 300.000000
