# UNITS: metal COMMENT: V6A initial electron temperature grid
# ix iy iz Te_K
1 1 1 8540.104498
1 1 2 7691.960758
1 1 3 6931.115402
1 1 4 6248.582915
1 1 5 5636.302651
1 1 6 5087.043635
1 1 7 4594.319169
1 1 8 4152.310221
1 1 9 3755.796706
1 1 10 3400.095835
1 1 11 3081.006815
1 1 12 2794.761231
1 1 13 2537.978551
1 1 14 2307.626193
1 1 15 2100.983718
1 1 16 1915.610697
1 1 17 1749.317891
1 1 18 1600.141397
1 1 19 1466.319455
1 1 20 1346.271640
1 1 21 1238.580197
1 1 22 1141.973301
1 1 23 1055.310033
1 1 24 977.566908
1 1 25 907.825786
1 1 26 845.263031
1 1 27 789.139784
1 1 28 738.793232
1 2 1 8540.104498
1 2 2 7691.960758
1 2 3 6931.115402
1 2 4 6248.582915
1 2 5 5636.302651
1 2 6 5087.043635
1 2 7 4594.319169
1 2 8 4152.310221
1 2 9 3755.796706
1 2 10 3400.095835
1 2 11 3081.006815
1 2 12 2794.761231
1 2 13 2537.978551
1 2 14 2307.626193
1 2 15 2100.983718
1 2 16 1915.610697
1 2 17 1749.317891
1 2 18 1600.141397
1 2 19 1466.319455
1 2 20 1346.271640
1 2 21 1238.580197
1 2 22 1141.973301
1 2 23 1055.310033
1 2 24 977.566908
1 2 25 907.825786
1 2 26 845.263031
1 2 27 789.139784
1 2 28 738.793232
1 3 1 8540.104498
1 3 2 7691.960758
1 3 3 6931.115402
1 3 4 6248.582915
1 3 5 5636.302651
1 3 6 5087.043635
1 3 7 4594.319169
1 3 8 4152.310221
1 3 9 3755.796706
1 3 10 3400.095835
1 3 11 3081.006815
1 3 12 2794.761231
1 3 13 2537.978551
1 3 14 2307.626193
1 3 15 2100.983718
1 3 16 1915.610697
1 3 17 1749.317891
1 3 18 1600.141397
1 3 19 1466.319455
1 3 20 1346.271640
1 3 21 1238.580197
1 3 22 1141.973301
1 3 23 1055.310033
1 3 24 977.566908
1 3 25 907.825786
1 3 26 845.263031
1 3 27 789.139784
1 3 28 738.793232
1 4 1 8540.104498
1 4 2 7691.960758
1 4 3 6931.115402
1 4 4 6248.582915
1 4 5 5636.302651
1 4 6 5087.043635
1 4 7 4594.319169
1 4 8 4152.310221
1 4 9 3755.796706
1 4 10 3400.095835
1 4 11 3081.006815
1 4 12 2794.761231
1 4 13 2537.978551
1 4 14 2307.626193
1 4 15 2100.983718
1 4 16 1915.610697
1 4 17 1749.317891
1 4 18 1600.141397
1 4 19 1466.319455
1 4 20 1346.271640
1 4 21 1238.580197
1 4 22 1141.973301
1 4 23 1055.310033
1 4 24 977.566908
1 4 25 907.825786
1 4 26 845.263031
1 4 27 789.139784
1 4 28 738.793232
2 1 1 8540.104498
2 1 2 7691.960758
2 1 3 6931.115402
2 1 4 6248.582915
2 1 5 5636.302651
2 1 6 5087.043635
2 1 7 4594.319169
2 1 8 4152.310221
2 1 9 3755.796706
2 1 10 3400.095835
2 1 11 3081.006815
2 1 12 2794.761231
2 1 13 2537.978551
2 1 14 2307.626193
2 1 15 2100.983718
2 1 16 1915.610697
2 1 17 1749.317891
2 1 18 1600.141397
2 1 19 1466.319455
2 1 20 1346.271640
2 1 21 1238.580197
2 1 22 1141.973301
2 1 23 1055.310033
2 1 24 977.566908
2 1 25 907.825786
2 1 26 845.263031
2 1 27 789.139784
2 1 28 738.793232
2 2 1 8540.104498
2 2 2 7691.960758
2 2 3 6931.115402
2 2 4 6248.582915
2 2 5 5636.302651
2 2 6 5087.043635
2 2 7 4594.319169
2 2 8 4152.310221
2 2 9 3755.796706
2 2 10 3400.095835
2 2 11 3081.006815
2 2 12 2794.761231
2 2 13 2537.978551
2 2 14 2307.626193
2 2 15 2100.983718
2 2 16 1915.610697
2 2 17 1749.317891
2 2 18 1600.141397
2 2 19 1466.319455
2 2 20 1346.271640
2 2 21 1238.580197
2 2 22 1141.973301
2 2 23 1055.310033
2 2 24 977.566908
2 2 25 907.825786
2 2 26 845.263031
2 2 27 789.139784
2 2 28 738.793232
2 3 1 8540.104498
2 3 2 7691.960758
2 3 3 6931.115402
2 3 4 6248.582915
2 3 5 5636.302651
2 3 6 5087.043635
2 3 7 4594.319169
2 3 8 4152.310221
2 3 9 3755.796706
2 3 10 3400.095835
2 3 11 3081.006815
2 3 12 2794.761231
2 3 13 2537.978551
2 3 14 2307.626193
2 3 15 2100.983718
2 3 16 1915.610697
2 3 17 1749.317891
2 3 18 1600.141397
2 3 19 1466.319455
2 3 20 1346.271640
2 3 21 1238.580197
2 3 22 1141.973301
2 3 23 1055.310033
2 3 24 977.566908
2 3 25 907.825786
2 3 26 845.263031
2 3 27 789.139784
2 3 28 738.793232
2 4 1 8540.104498
2 4 2 7691.960758
2 4 3 6931.115402
2 4 4 6248.582915
2 4 5 5636.302651
2 4 6 5087.043635
2 4 7 4594.319169
2 4 8 4152.310221
2 4 9 3755.796706
2 4 10 3400.095835
2 4 11 3081.006815
2 4 12 2794.761231
2 4 13 2537.978551
2 4 14 2307.626193
2 4 15 2100.983718
2 4 16 1915.610697
2 4 17 1749.317891
2 4 18 1600.141397
2 4 19 1466.319455
2 4 20 1346.271640
2 4 21 1238.580197
2 4 22 1141.973301
2 4 23 1055.310033
2 4 24 977.566908
2 4 25 907.825786
2 4 26 845.263031
2 4 27 789.139784
2 4 28 738.793232
3 1 1 8540.104498
3 1 2 7691.960758
3 1 3 6931.115402
3 1 4 6248.582915
3 1 5 5636.302651
3 1 6 5087.043635
3 1 7 4594.319169
3 1 8 4152.310221
3 1 9 3755.796706
3 1 10 3400.095835
3 1 11 3081.006815
3 1 12 2794.761231
3 1 13 2537.978551
3 1 14 2307.626193
3 1 15 2100.983718
3 1 16 1915.610697
3 1 17 1749.317891
3 1 18 1600.141397
3 1 19 1466.319455
3 1 20 1346.271640
3 1 21 1238.580197
3 1 22 1141.973301
3 1 23 1055.310033
3 1 24 977.566908
3 1 25 907.825786
3 1 26 845.263031
3 1 27 789.139784
3 1 28 738.793232
3 2 1 8540.104498
3 2 2 7691.960758
3 2 3 6931.115402
3 2 4 6248.582915
3 2 5 5636.302651
3 2 6 5087.043635
3 2 7 4594.319169
3 2 8 4152.310221
3 2 9 3755.796706
3 2 10 3400.095835
3 2 11 3081.006815
3 2 12 2794.761231
3 2 13 2537.978551
3 2 14 2307.626193
3 2 15 2100.983718
3 2 16 1915.610697
3 2 17 1749.317891
3 2 18 1600.141397
3 2 19 1466.319455
3 2 20 1346.271640
3 2 21 1238.580197
3 2 22 1141.973301
3 2 23 1055.310033
3 2 24 977.566908
3 2 25 907.825786
3 2 26 845.263031
3 2 27 789.139784
3 2 28 738.793232
3 3 1 8540.104498
3 3 2 7691.960758
3 3 3 6931.115402
3 3 4 6248.582915
3 3 5 5636.302651
3 3 6 5087.043635
3 3 7 4594.319169
3 3 8 4152.310221
3 3 9 3755.796706
3 3 10 3400.095835
3 3 11 3081.006815
3 3 12 2794.761231
3 3 13 2537.978551
3 3 14 2307.626193
3 3 15 2100.983718
3 3 16 1915.610697
3 3 17 1749.317891
3 3 18 1600.141397
3 3 19 1466.319455
3 3 20 1346.271640
3 3 21 1238.580197
3 3 22 1141.973301
3 3 23 1055.310033
3 3 24 977.566908
3 3 25 907.825786
3 3 26 845.263031
3 3 27 789.139784
3 3 28 738.793232
3 4 1 8540.104498
3 4 2 7691.960758
3 4 3 6931.115402
3 4 4 6248.582915
3 4 5 5636.302651
3 4 6 5087.043635
3 4 7 4594.319169
3 4 8 4152.310221
3 4 9 3755.796706
3 4 10 3400.095835
3 4 11 3081.006815
3 4 12 2794.761231
3 4 13 2537.978551
3 4 14 2307.626193
3 4 15 2100.983718
3 4 16 1915.610697
3 4 17 1749.317891
3 4 18 1600.141397
3 4 19 1466.319455
3 4 20 1346.271640
3 4 21 1238.580197
3 4 22 1141.973301
3 4 23 1055.310033
3 4 24 977.566908
3 4 25 907.825786
3 4 26 845.263031
3 4 27 789.139784
3 4 28 738.793232
4 1 1 8540.104498
4 1 2 7691.960758
4 1 3 6931.115402
4 1 4 6248.582915
4 1 5 5636.302651
4 1 6 5087.043635
4 1 7 4594.319169
4 1 8 4152.310221
4 1 9 3755.796706
4 1 10 3400.095835
4 1 11 3081.006815
4 1 12 2794.761231
4 1 13 2537.978551
4 1 14 2307.626193
4 1 15 2100.983718
4 1 16 1915.610697
4 1 17 1749.317891
4 1 18 1600.141397
4 1 19 1466.319455
4 1 20 1346.271640
4 1 21 1238.580197
4 1 22 1141.973301
4 1 23 1055.310033
4 1 24 977.566908
4 1 25 907.825786
4 1 26 845.263031
4 1 27 789.139784
4 1 28 738.793232
4 2 1 8540.104498
4 2 2 7691.960758
4 2 3 6931.115402
4 2 4 6248.582915
4 2 5 5636.302651
4 2 6 5087.043635
4 2 7 4594.319169
4 2 8 4152.310221
4 2 9 3755.796706
4 2 10 3400.095835
4 2 11 3081.006815
4 2 12 2794.761231
4 2 13 2537.978551
4 2 14 2307.626193
4 2 15 2100.983718
4 2 16 1915.610697
4 2 17 1749.317891
4 2 18 1600.141397
4 2 19 1466.319455
4 2 20 1346.271640
4 2 21 1238.580197
4 2 22 1141.973301
4 2 23 1055.310033
4 2 24 977.566908
4 2 25 907.825786
4 2 26 845.263031
4 2 27 789.139784
4 2 28 738.793232
4 3 1 8540.104498
4 3 2 7691.960758
4 3 3 6931.115402
4 3 4 6248.582915
4 3 5 5636.302651
4 3 6 5087.043635
4 3 7 4594.319169
